"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1_1 [V]"
0,148.754857765807,149.179285984,144.418728047372
0.01,,,144.817543660178
0.02,,,145.216359272984
0.03,,,145.644294076284
0.04,,,145.988281278076
0.05,,,146.124041543998
0.06,,,146.435877619142
0.07,,,146.528188760069
0.08,,,146.665557385716
0.09,,,146.752635508463
0.1,142.825003319404,142.553243058307,146.775526210201
0.11,,,147.203283732822
0.12,,,146.922388530416
0.13,,,146.813320398906
0.14,,,146.684428706016
0.15,,,146.552833460269
0.16,,,146.212012509957
0.17,,,145.821403198894
0.18,,,145.60100185769
0.19,,,145.286984723636
0.2,136.895148873001,135.927200132613,145.015315899465
0.21,,,144.547832794469
0.22,,,144.099220981139
0.23,,,143.459135445583
0.24,,,142.938781022816
0.25,,,142.414975445091
0.26,,,141.93472327098
0.27,,,141.644163834915
0.28,,,141.174787306814
0.29,,,140.516725917861
0.3,134.777051226063,133.721539811501,140.029235104021
0.31,,,139.531354641377
0.32,,,138.982666966245
0.33,,,138.523417963825
0.34,,,138.173322691885
0.35,,,137.94046922303
0.36,,,137.537140634038
0.37,,,137.36311055583
0.38,,,136.944591297591
0.39,,,136.844552447553
0.4,138.242365356984,137.976211237237,136.647217632569
0.41,,,136.586637790913
0.42,,,136.663494315063
0.43,,,136.825668780041
0.440000000000001,,,136.715867672462
0.450000000000001,,,136.914073139386
0.460000000000001,,,137.093691887784
0.470000000000001,,,137.365125609494
0.480000000000001,,,137.854353868092
0.490000000000001,,,138.034644546474
0.5,143.48177673402,144.064965654794,138.878894328758
0.510000000000001,,,138.848540358824
0.520000000000001,,,139.559520081534
0.530000000000001,,,140.0887947294
0.540000000000001,,,140.575718602894
0.550000000000001,,,141.210789207998
0.560000000000001,,,141.644706475892
0.570000000000001,,,142.371198293972
0.580000000000001,,,143.050890112595
0.590000000000001,,,143.591242400661
0.6,148.392014792434,149.28302378851,144.073430269926
