"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1 [V]","InducedVoltage(Coil2)_1 [V]"
0,144.418728047372,144.752417314054,144.833303476689,144.803789555219
0.01,144.817543660178,144.965437522147,145.108167737645,145.097586729624
0.02,145.216359272984,145.17845773024,145.383031998602,145.391383904029
0.03,145.644294076284,145.716718250161,145.707178064979,145.730690643987
0.04,145.988281278076,145.896689807935,145.885789291437,145.941594246271
0.05,146.124041543998,146.151338173005,146.21782621871,146.292500841357
0.06,146.435877619142,146.409490239266,146.513882036967,146.479244310035
0.07,146.528188760069,146.564951449731,146.666211523286,146.675266832935
0.08,146.665557385716,146.667207321969,146.792347832701,146.826530423275
0.09,146.752635508463,146.794642459175,146.983771231571,146.980331923603
0.1,146.775526210201,146.862843121623,146.961298222632,146.992841949341
0.11,147.203283732822,147.113123109911,147.013373115684,147.032356871445
0.12,146.922388530416,146.922696650943,146.875027111655,146.906217706959
0.13,146.813320398906,146.769399630015,146.931763720738,146.944759544515
0.14,146.684428706016,146.734629203322,146.677887798143,146.708148704582
0.15,146.552833460269,146.546782190438,146.512909092213,146.57267202761
0.16,146.212012509957,146.224094440525,146.281558955368,146.263065827252
0.17,145.821403198894,145.821043501068,146.004856061873,146.024550000826
0.18,145.60100185769,145.596695268437,145.672141689425,145.691108486878
0.19,145.286984723636,145.21740629452,145.32818548972,145.348210350812
0.2,145.015315899465,145.030039241029,144.879286218713,144.896736783988
0.21,144.547832794469,144.562025567385,144.413102299394,144.444036347385
0.22,144.099220981139,144.12186001764,144.011072905172,144.018448212689
0.23,143.459135445583,143.543132769975,143.555002134257,143.569451590313
0.24,142.938781022816,142.933542007928,143.114911380397,143.132845971815
0.25,142.414975445091,142.360370242029,142.567924066938,142.61060511977
0.26,141.93472327098,141.974557957136,142.134980230388,142.122540458058
0.27,141.644163834915,141.560514126912,141.548834803546,141.561478219812
0.28,141.174787306814,141.0987690419,141.093317499278,141.142680654485
0.29,140.516725917861,140.563092865729,140.642614326752,140.622153286321
0.3,140.029235104021,139.950532011721,140.123917470273,140.123849092594
0.31,139.531354641377,139.6256184027,139.625944664892,139.66252227903
0.32,138.982666966245,138.94423775698,139.184709693782,139.194585646993
0.33,138.523417963825,138.61621192197,138.765335307043,138.781126447244
0.34,138.173322691885,138.142258709869,138.374183406246,138.376602965154
0.35,137.94046922303,137.838013834597,138.012281205338,138.01018092313
0.36,137.537140634038,137.544863916179,137.699966670581,137.747862760475
0.37,137.36311055583,137.113165015971,137.411395430037,137.412450935255
0.38,136.944591297591,137.111340738099,137.204137139328,137.228940854655
0.39,136.844552447553,136.922126020192,136.986182265998,137.010837483079
0.4,136.647217632569,136.63191204095,136.905794438421,136.916779395872
0.41,136.586637790913,136.658847622885,136.817425375844,136.833688673756
0.42,136.663494315063,136.622884176855,136.816140270875,136.812536104853
0.43,136.825668780041,136.794847187349,136.840502177168,136.865518500314
0.440000000000001,136.715867672462,136.625456157906,136.962875543921,136.976018127559
0.450000000000001,136.914073139386,136.913433539597,137.182393569255,137.23078819719
0.460000000000001,137.093691887784,137.137298593468,137.240504376366,137.210498888808
0.470000000000001,137.365125609494,137.389596444186,137.56833384302,137.572409133471
0.480000000000001,137.854353868092,137.839451721383,137.901327919848,137.908193169136
0.490000000000001,138.034644546474,138.012322698266,138.256923737072,138.253303832086
0.500000000000001,138.878894328758,139.033195206161,138.653145644814,138.668399057346
0.510000000000001,138.848540358824,138.644430192593,139.107901176317,139.116736123942
0.520000000000001,139.559520081534,139.559470136658,139.570643567247,139.600988382175
0.530000000000001,140.0887947294,140.055521492896,140.107761322396,140.094824790952
0.540000000000001,140.575718602894,140.623539513038,140.64262828715,140.658293440961
0.550000000000001,141.210789207998,141.249048878394,141.209986513467,141.255204994417
0.560000000000001,141.644706475892,141.631982967814,141.735456795354,141.690451039072
0.570000000000001,142.371198293972,142.406944037677,142.30886798052,142.317373199856
0.580000000000001,143.050890112595,142.984720543441,142.9518220293,142.952821068842
0.590000000000001,143.591242400661,143.448067767668,143.550019708314,143.557704314336
0.600000000000001,144.073430269926,144.003851335891,144.15347394693,144.152215727822
0.610000000000001,144.743705480823,144.815699426192,144.753082864258,144.754114836927
0.620000000000001,145.210871445111,145.243633329911,145.370153169552,145.349694551855
0.630000000000001,145.921012177006,145.849960656297,145.874682032713,145.909136678714
0.640000000000001,146.664144611422,146.49997795044,146.452271883566,146.435033516144
0.650000000000001,146.693125108319,146.90020681473,146.940736749628,146.952412140597
0.660000000000001,147.376153469568,147.389670714778,147.500827574532,147.504595922444
0.670000000000001,147.892201586363,147.857224063167,147.904605554406,147.926332269228
0.680000000000001,148.364046350678,148.387742639014,148.353435754045,148.361316572878
0.690000000000001,148.619849390297,148.601122910076,148.722814406882,148.726366326337
0.700000000000001,149.044765411891,149.183010518085,149.059955600765,149.078651416482
0.710000000000001,149.53987607591,149.384100734104,149.391587216514,149.386158991109
0.720000000000001,149.51477510615,149.562242217861,149.62270908812,149.655093331231
0.730000000000001,149.853568356925,149.795835351279,149.878756843144,149.888162991705
0.740000000000001,149.948376986656,150.003540003169,150.013680167405,150.039474583234
0.750000000000001,150.016904810423,150.000692855321,150.045872952126,150.09852809731
0.760000000000001,150.087294023992,150.107075396894,150.317998205173,150.301164984062
0.770000000000001,150.101993464944,150.107122887604,150.216872939252,150.220935333354
0.780000000000001,150.324517992882,150.282203945179,150.190090820689,150.196767016448
0.790000000000001,149.900142650433,149.854080566519,150.084185420409,150.106193959431
