"Time [ms]","InducedVoltage(PMI_2) [kV]","InducedVoltage(PMI_1) [kV]"
5.8,2.10213041715329,2.09853011676996
5.9,1.8609806113298,1.86380945043838
6,1.7180957327032,1.72108624822687
6.1,1.58395946468205,1.58783029655269
6.2,1.50630791438565,1.50701143395833
6.3,1.47948993115336,1.47765681971934
6.4,1.53130036605702,1.52838319664768
6.5,1.60621464253696,1.60554349922432
6.6,1.71652293888223,1.70901883437042
6.7,1.87455955415387,1.87374144939964
6.8,2.1019123822534,2.10785846939124
6.9,2.40024585607379,2.40031068839059
7,2.82584476291203,2.81790035725689
7.1,3.24353243633475,3.25725693204628
7.20000000000001,3.91002932805073,3.9051115405761
7.30000000000001,4.71452301316158,4.70723793470136
7.40000000000001,5.69177993784362,5.68702170006897
7.50000000000001,6.84359831324273,6.85634454930467
7.60000000000001,8.02930285906554,8.02968430969983
7.70000000000001,7.57086101781247,7.57966228892124
7.80000000000001,5.5134058027865,5.51991899105617
7.90000000000001,3.38745787738268,3.39329008648512
8.00000000000001,2.24248985197251,2.23782371287212
8.10000000000001,1.74222932311388,1.73232504901835
8.20000000000001,1.48746005123306,1.47678030685606
8.30000000000001,1.22762287371542,1.22293830914821
8.4,0.982816976300904,0.982894386927204
8.5,0.828579869179609,0.83772427943925
8.6,0.771808282265814,0.778373575385607
8.7,0.791661948686042,0.794961421834875
8.8,0.927032872073875,0.924970227489853
8.9,1.71232872136998,1.70701175214531
9,2.04012796574231,2.03471735439593
9.1,1.63659026330946,1.63268075941578
9.2,1.33628105594341,1.33456883055339
9.3,1.39084629447201,1.39310545924036
9.4,1.65776007372393,1.65641818874836
9.5,1.82516147210199,1.82728414292636
9.6,1.68031690389778,1.67156776582542
9.7,0.869146611557371,0.868520946485939
9.8,0.209664523787528,0.20814144960614
9.9,0.137955693942172,0.139499038202048
10,0.24561911182767,0.244723007960827
10.1,0.117369376536197,0.11526259981169
10.2,0.32859621511893,0.328336467288894
10.3,1.06063881893552,1.06295340824963
10.4,0.814577165912121,0.812429573041045
10.5,0.510001441999467,0.509422441405295
10.6,0.654882543811052,0.653331377188721
10.7,0.896888222226574,0.895607122563154
10.8,0.740449951802504,0.734843689407598
10.9,0.206990940529456,0.209789051527506
11,-0.162187872099829,-0.163647113335888
11.1,-0.606086526887676,-0.604326211867669
11.2,-0.807104389557361,-0.805841260451908
11.3,-0.57156496569203,-0.571107036846822
11.4,-0.405221706310839,-0.406711513042437
11.5,-0.258011314640979,-0.255595473912199
11.6,0.555438819809332,0.554234267946313
11.7,0.549279816046105,0.549553221661924
11.8,-0.0229891656993965,-0.0217695209301995
11.9,-0.225068395119853,-0.223624315587953
12,-0.0081971352660482,-0.00774898582047716
12.1,0.145377432008918,0.145807998522099
12.2,-0.100735044197844,-0.103365766845283
12.3,-0.466236800471125,-0.464353295905869
12.4,-0.77535952280615,-0.773678002611242
12.5,-1.19401062556609,-1.19244590753095
12.6,-1.33458232620771,-1.33155468045383
12.7,-1.20672129904865,-1.20745634622495
12.8,-1.22895968970078,-1.22644264866454
12.9,-0.877771095842062,-0.877955754038423
13,-0.998535685931816,-0.999615081934279
13.1,-1.1736609134605,-1.17266772121751
13.2,-1.07435121574451,-1.07364377501855
13.3,-0.82865752752515,-0.830127927806328
13.4,-0.819822611536929,-0.821602863850904
13.5,-1.10170059085269,-1.10183624599652
13.6,-1.55171791750767,-1.55128418734956
13.7,-1.76239009609073,-1.76176629947148
13.8,-1.77320173560536,-1.77206122257699
13.9,-1.6167623794462,-1.61501356267741
14,-1.57344626052527,-1.57154697640978
14.1,-1.58116305195614,-1.58136914702643
14.2,-1.25531126346993,-1.25535661782702
14.3,-0.751231063917977,-0.752001911799645
14.4,-0.986522700210385,-0.987168370937181
14.5,-1.30076681221123,-1.30182009143924
14.6,-1.84660572646113,-1.8484906462426
14.7,-3.00912500286572,-3.01805746360039
14.8,-5.1920087136737,-5.19481729808789
14.9,-7.44006428648357,-7.4450206162448
15,-8.25213429738237,-8.24203692881973
15.1,-7.34571533394951,-7.3454978371345
15.2,-6.07296351911075,-6.06592086161971
15.3,-4.85619288226585,-4.85296997633011
15.4,-4.00625113517318,-4.00314795498614
15.5,-3.23230530076178,-3.23187273910014
15.6,-2.62481939459387,-2.62506114654448
15.7,-2.26544633703862,-2.26577657756775
15.8,-2.03027335056608,-2.02896488598324
15.9,-1.84005675538457,-1.83632146335553
16,-1.70518485487923,-1.70742408707079
16.1,-1.61682410203132,-1.61728748932464
16.2,-1.5603132462937,-1.56063642700147
16.3,-1.53656987856262,-1.53579435503885
16.4,-1.5491301348449,-1.54306879909449
16.5,-1.59535935771992,-1.60050113345931
16.6,-1.68747026942038,-1.6868567328355
16.7,-1.80000298823447,-1.80210586938554
16.8,-1.97441715662548,-1.97339294024813
16.9,-2.31636537460487,-2.29270142740514
17,-2.7658265727403,-2.81155464960138
17.1,-3.34783446355317,-3.32454619337912
17.2,-3.99141011606131,-3.98640113104566
17.3,-4.87632879197143,-4.8750098586305
17.4,-6.03168073130149,-5.96903948627611
17.4999999999999,-7.26791052816386,-7.39375015167419
17.5999999999999,-8.21097742606321,-8.14461120521516
17.6999999999999,-7.31646597469378,-7.31632658852736
17.7999999999999,-5.01149302836716,-5.01674384747105
17.8999999999999,-2.83291182412965,-2.82660561808522
17.9999999999999,-1.65406848644883,-1.66456984465254
18.0999999999999,-1.10271295957186,-1.10092304939926
18.1999999999999,-1.25903028826135,-1.26175575118887
18.2999999999999,-1.75287546049806,-1.75297836022265
18.3999999999999,-1.61284875178981,-1.61328155797892
18.4999999999999,-1.44700986185174,-1.44592837623767
18.5999999999999,-1.41263107485572,-1.41253062765689
18.6999999999999,-1.50253597418135,-1.5024264716565
18.7999999999999,-1.61910689317884,-1.61757741958213
18.8999999999999,-1.59453037141971,-1.59611483050629
18.9999999999999,-1.34537299504153,-1.34391861147951
19.0999999999999,-0.906626515449324,-0.908691020676381
19.1999999999999,-0.609531075162092,-0.607809705601778
19.2999999999999,-0.633388929809712,-0.634878934171827
19.3999999999999,-0.830370835104178,-0.826591041641245
19.4999999999999,-1.22772926772923,-1.232719948095
19.5999999999999,-2.11646424021791,-2.1150097422079
19.6999999999999,-1.71581794436169,-1.71460296443329
19.7999999999999,-1.06528114750293,-1.06462705555901
19.8999999999999,-0.968595119202599,-0.969170392372535
19.9999999999999,-1.11933637091774,-1.11697060371679
20.0999999999999,-1.00850673440846,-1.0104246178675
20.1999999999999,-0.629448077107146,-0.625922685406092
20.2999999999999,-0.304155832362342,-0.305428533556251
20.3999999999999,0.107547300720264,0.107547481929942
20.4999999999999,0.380866508676585,0.376009971988067
20.5999999999999,0.23510431171209,0.234253881233163
20.6999999999999,0.050216331248745,0.0504511146216838
20.7999999999999,0.140576782291558,0.140613456755166
20.8999999999999,-0.395767362930058,-0.396431425990598
20.9999999999999,-0.757589736193087,-0.754157212463143
21.0999999999999,-0.36107330936231,-0.360648985897145
21.1999999999999,-0.118593708940367,-0.117791018563943
21.2999999999999,-0.340705201718256,-0.340146133702037
21.3999999999999,-0.562887069756236,-0.562512079529366
21.4999999999999,-0.372356663873001,-0.372705216092018
21.5999999999999,0.0184752525222721,0.022737153120236
21.6999999999999,0.424070388611358,0.426702990993671
21.7999999999999,0.961474851176802,0.959322456427346
21.8999999999999,1.12206894089456,1.12050613515184
21.9999999999999,0.909451675437088,0.908081706995644
22.0999999999999,0.753267621804956,0.75285387851713
22.1999999999999,0.354861514524976,0.355865440996583
22.2999999999999,-0.31528701211146,-0.31224640644121
22.3999999999999,-0.100999238535594,-0.0994441226261428
22.4999999999999,0.343517451927229,0.342614401869101
22.5999999999999,0.497608080244965,0.496809652841733
22.6999999999999,0.351772237322001,0.350721607277757
22.7999999999999,0.456289086551947,0.456059282282271
22.8999999999999,1.09397997686701,1.09582108355403
22.9999999999999,1.84747408368863,1.84704088696005
23.0999999999999,1.97271039517357,1.97619274851362
23.1999999999999,1.83001567533128,1.82889281636187
23.2999999999999,1.57275724065973,1.57456202796889
23.3999999999999,1.56948627735146,1.57222325961037
23.4999999999999,1.55681471521137,1.55616360520825
23.5999999999999,1.01576047773785,1.0172604523963
23.6999999999999,0.988820753703982,0.989125195128248
23.7999999999999,1.06014953926296,1.05998895545387
23.8999999999999,0.969742109606197,0.968064310626998
23.9999999999999,0.927285610920482,0.926236903514793
24.0999999999999,0.953147545614043,0.952483899706801
24.1999999999999,1.13650482653141,1.135248990601
24.2999999999999,1.37485568818142,1.37482639723221
24.3999999999999,1.64326359797339,1.6419736175793
24.4999999999999,1.87902375918303,1.87964743429516
24.5999999999999,2.40987721644973,2.40669033782954
24.6999999999999,3.55227538629252,3.5576137726582
24.7999999999999,5.51971999643186,5.51554221395243
24.8999999999999,6.98038439734519,6.98406045127237
24.9999999999999,7.58399160981669,7.58240871496267
25.0999999999999,6.97961655814214,6.97761259650609
25.1999999999999,5.91109439722148,5.9095078751356
25.2999999999999,4.78083676373221,4.77965291608015
25.3999999999999,3.96464602778293,3.96281676854326
25.4999999999999,3.27294491780308,3.27289288553288
25.5999999999999,2.79860995597698,2.79612157060598
25.6999999999999,2.38015233171007,2.38233614671097
25.7999999999999,2.10312261731825,2.10082844119582
25.8999999999999,1.86034079994345,1.86156078932413
25.9999999999999,1.71904278022949,1.71699847624109
26.0999999999999,1.58367782591639,1.5839769378316
26.1999999999999,1.5038566735448,1.50435033015849
26.2999999999999,1.48024728507867,1.4794974301066
26.3999999999999,1.53338246713201,1.53163475731253
26.4999999999999,1.60385822432806,1.61589014016454
26.5999999999999,1.72141876713431,1.70489580187587
26.6999999999999,1.87626700721022,1.87644556554776
26.7999999999999,2.10093212074161,2.10201008054866
26.8999999999999,2.40101223982876,2.39555222703072
26.9999999999999,2.77497183259527,2.8098722584147
27.0999999999999,3.27624676146231,3.26352328810516
27.1999999999999,3.9094017992422,3.90195112060058
27.2999999999999,4.72325913717531,4.70898567854029
27.3999999999999,5.64485099068942,5.68865699323171
27.4999999999999,6.83194065924728,6.85339383929636
27.5999999999999,8.08983862211346,8.02613782781126
27.6999999999999,7.56894579972091,7.57503298625492
27.7999999999999,5.51027741131276,5.51017194546354
27.8999999999999,3.38866911752691,3.39163624950542
27.9999999999999,2.24323344829005,2.24244498503858
28.0999999999999,1.73995583100936,1.74075565410022
28.1999999999999,1.48752581176863,1.48617705312272
28.2999999999999,1.22610814521113,1.22707223360766
28.3999999999999,0.981932857684319,0.980732876476248
28.4999999999999,0.829022626898693,0.830154730753124
28.5999999999999,0.774172980812718,0.772131057370147
28.6999999999999,0.791371176313045,0.791062822797737
28.7999999999999,0.921845715718442,0.923080694542403
28.8999999999999,1.70325981501661,1.70307470643993
28.9999999999999,2.028109821587,2.02792202648744
29.0999999999999,1.62653521259881,1.62629026952265
29.1999999999999,1.33006325970201,1.33041736202913
29.2999999999999,1.38504392873721,1.38552201531993
29.3999999999999,1.65101365322749,1.64747075036888
29.4999999999999,1.8212062245727,1.8237834105972
29.5999999999999,1.6767471233134,1.67103397671709
29.6999999999999,0.869715612529061,0.870873691451047
29.7999999999999,0.212002507448849,0.211005877570313
29.8999999999999,0.141415654948035,0.14227907217455
29.9999999999999,0.249363520676253,0.247895909780242
30.0999999999999,0.126017355680227,0.124502832034424
30.1999999999999,0.357141956322968,0.357235003515959
30.2999999999999,1.10208565063765,1.10360486921208
30.3999999999999,0.834900723364176,0.833567050995848
30.4999999999999,0.514421436248596,0.514826023588582
30.5999999999999,0.654237916378694,0.654281040099236
30.6999999999999,0.897731989600891,0.898971705571766
30.7999999999999,0.744040516341404,0.739739723760029
30.8999999999999,0.220217498151351,0.223560945426266
30.9999999999999,-0.146280559211008,-0.147579355972472
