"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1 [V]"
0,145.222529577812,145.649558631077,144.418728047372
0.01,144.955279772348,145.123025818071,144.817543660178
0.02,144.688029966884,144.596493005065,145.216359272984
0.03,143.934573394905,143.864417273332,145.644294076284
0.04,144.04138042155,143.777818721771,145.988281278076
0.05,143.211432446472,142.991543945532,146.124041543998
0.06,142.586175312283,142.22994789659,146.435877619142
0.07,141.867216820563,141.498762293889,146.528188760069
0.08,141.163703686543,140.679090372382,146.665557385716
0.09,140.502848054477,139.977177463114,146.752635508463
0.1,139.337913246697,138.746664910157,146.775526210201
0.11,139.935198954507,139.146036867827,147.203283732822
0.12,138.617134347745,137.817147712973,146.922388530416
0.13,138.09721399013,137.188348684089,146.813320398906
0.14,137.387076626731,136.499008670443,146.684428706016
0.15,136.885055839032,135.881575247476,146.552833460269
0.16,136.136380868902,135.0873620491,146.212012509957
0.17,135.44704127867,134.33181060373,145.821403198894
0.18,135.251775306355,134.091598433841,145.60100185769
0.19,134.952085538592,133.706164613658,145.286984723636
0.2,134.815855601707,133.627792273434,145.015315899465
0.21,134.605187802328,133.412851885445,144.547832794469
0.22,134.434126727774,133.244592076933,144.099220981139
0.23,134.246555403949,133.141618734784,143.459135445583
0.24,133.957815777683,132.743688370606,142.938781022816
0.25,133.987109529586,132.76942788199,142.414975445091
0.26,134.36432703367,133.307528813662,141.93472327098
0.27,134.621875143104,133.48498357944,141.644163834915
0.28,135.004419953559,133.949228960534,141.174787306814
0.29,135.079007347661,134.207542188372,140.516725917861
0.3,136.128792037964,135.304519596836,140.029235104021
0.31,135.170237149541,134.423339246268,139.531354641377
0.32,136.251960020626,135.56383964836,138.982666966245
0.33,136.7302734233,136.271064064485,138.523417963825
0.34,137.327261447519,136.854376154169,138.173322691885
0.35,137.88336391747,137.436074206776,137.94046922303
0.36,138.502228683169,138.294441154611,137.537140634038
0.37,139.206430086186,138.855513989199,137.36311055583
0.38,138.982438759923,139.074850895147,136.944591297591
0.39,139.935537072938,140.08115919785,136.844552447553
0.4,140.365691051764,140.509029171327,136.647217632569
0.41,141.006046342211,141.341895303725,136.586637790913
0.42,141.537750178148,141.834566458186,136.663494315063
0.43,142.576354430413,143.021121768071,136.825668780041
0.440000000000001,142.502313310904,142.898834430169,136.715867672462
0.450000000000001,143.135429735826,143.708050354505,136.914073139386
0.460000000000001,143.646888035966,144.320921357212,137.093691887784
0.470000000000001,144.157385413731,144.869845770898,137.365125609494
0.480000000000001,144.777400393418,145.490198766083,137.854353868092
0.490000000000001,145.215960488928,145.973079609869,138.034644546474
0.500000000000001,146.20615938,147.201045927339,138.878894328758
0.510000000000001,146.038115615343,146.647003669944,138.848540358824
0.520000000000001,146.772483177249,147.635508813968,139.559520081534
0.530000000000001,147.233816798021,148.070458927952,140.0887947294
0.540000000000001,147.682758250279,148.621315348451,140.575718602894
0.550000000000001,148.1472957831,149.075103166595,141.210789207998
0.560000000000001,148.666691721261,149.583554728278,141.644706475892
0.570000000000001,149.147285513192,150.090234833842,142.371198293972
0.580000000000001,149.691689837165,150.51500802318,143.050890112595
0.590000000000001,150.009389327846,150.749588560785,143.591242400661
0.600000000000001,150.460250045743,151.282057274924,144.073430269926
0.610000000000001,150.785911776514,151.715302153787,144.743705480823
0.620000000000001,151.195967810294,152.092133612228,145.210871445111
0.630000000000001,151.546478824207,152.309189959964,145.921012177006
0.640000000000001,152.11437804138,152.763567137633,146.664144611422
0.650000000000001,151.970546913156,152.996508883473,146.693125108319
0.660000000000001,152.330477707754,153.122138983144,147.376153469568
0.670000000000001,152.591510218837,153.310654648659,147.892201586363
0.680000000000001,152.654316857738,153.375798430519,148.364046350678
0.690000000000001,152.874273821308,153.566773739433,148.619849390297
0.700000000000001,152.507414730463,153.119071758747,149.044765411891
0.710000000000001,153.484235572996,154.125318353016,149.53987607591
0.720000000000001,152.609518880804,153.213607143638,149.51477510615
0.730000000000001,152.810029294651,153.28655862424,149.853568356925
0.740000000000001,152.446674200837,152.961319337296,149.948376986656
0.750000000000001,152.226982748907,152.620242001853,150.016904810423
0.760000000000001,152.00222658011,152.378529923244,150.087294023992
0.770000000000001,151.443566357967,151.700465065513,150.101993464944
0.780000000000001,151.573277461555,151.765799687572,150.324517992882
0.790000000000001,150.406572748328,150.441964236421,149.900142650433
0.800000000000001,150.157754615492,150.123041342917,149.923582606791
0.810000000000001,148.987095168683,148.979032641227,149.517663714595
0.820000000000002,148.50275940402,148.285192753677,149.300603376741
0.830000000000002,147.189710369016,146.848333393023,148.92862548443
0.840000000000002,147.153250290764,146.542554844374,148.961177777982
0.850000000000002,145.750116138851,145.119111903902,148.349784008561
0.860000000000002,144.591626015582,143.698126918009,147.877983440428
0.870000000000002,143.731712826995,142.715641160794,147.62968284578
0.880000000000002,142.323914429275,141.082982433638,146.986895169547
0.890000000000002,141.456534067648,140.06065556541,146.530798804267
0.900000000000002,139.292909140924,137.573139409022,145.7779708948
0.910000000000002,140.037595072012,138.253728709084,145.720275404012
0.920000000000002,137.801352480783,135.644628796782,144.839519229465
0.930000000000002,136.914829628313,134.730030538247,144.194683409376
0.940000000000002,135.764227744288,133.1863880317,143.749680862612
0.950000000000002,134.725714905569,132.076285806048,142.997243681423
0.960000000000002,133.587557681927,130.80080618157,142.324794212039
0.970000000000002,132.585685172058,129.564109308573,141.787972531035
0.980000000000002,132.239227647007,129.09735429922,141.294164217796
0.990000000000002,131.19429979336,127.867927368381,140.569568579157
1,130.558633599779,127.332214759005,139.891128644147
1.01,130.096272462454,126.327740321606,139.643318079921
1.02,129.546643865689,126.033610973738,138.808076834663
1.03,129.069185617772,125.284236661331,138.339129022163
1.04,128.951078227639,125.396474538955,137.834166625973
1.05,128.667720520027,125.128460913351,137.306805483371
1.06,128.656649989335,125.287078947461,136.758192052824
1.07,128.769940194099,125.365245397922,136.510260083497
1.08,129.118586627649,125.685789838078,136.345504660043
1.09,129.122635280321,125.978363673901,135.848668874069
1.1,130.126153950051,126.956494643972,135.891822650598
1.11,129.588589630994,126.758015275185,135.356887186831
1.12,130.699322217979,128.011058070257,135.329009512359
1.13,131.297531333714,128.854619287982,135.156690793614
1.14,132.05396969224,129.955351725001,135.050444473128
1.15,132.835724071703,131.027506888373,135.028903548564
1.16,133.592111159097,132.027066220665,135.047697348785
1.17,134.806333211964,133.603558146727,135.263151522002
1.18,135.054096942879,133.925190070982,135.260956803899
1.19,136.400858574445,135.731474401891,135.499617736936
1.2,137.097690731612,136.716605056735,135.54895748693
1.21,138.337475968333,138.323385479129,135.872731399722
1.22,138.943116781556,139.14080306161,135.977923412962
1.23,139.967907388988,140.551774639601,136.219200344574
1.24,140.823226641213,141.606874795456,136.545051801528
1.25,141.632711074064,142.670532434607,136.85151118864
1.26,142.31956639289,143.648124844716,137.081608672881
1.27,143.026130200196,144.657726923686,137.36655136029
1.28,143.993007824447,145.999965210952,137.811880930259
1.29,144.200770493116,146.208441356694,137.922406109637
1.3,145.135970346925,147.486682756858,138.503922423077
1.31,145.600144193314,148.135693418657,138.668335917663
1.32,146.119355931716,148.81447755064,139.039689810885
1.33,146.621826644172,149.393877202952,139.47589476084
1.34,147.172881398371,150.264778071579,139.768159800998
1.35,147.877599635645,151.104379331917,140.356403461786
1.36,147.865976464667,151.05175459531,140.52947124504
1.37,148.802314456986,152.214285409521,141.247254590151
1.38,148.946626338342,152.444875544466,141.443538916913
1.39,149.316941077629,152.84359318175,141.839330731163
1.4,149.714506999701,153.410435960532,142.328284020387
1.41,150.01083517902,153.621235137019,142.505283039498
1.42,150.215198570707,153.928095910865,142.862275778876
1.43,150.460578299677,154.137972049853,143.217625126004
1.44,150.758107086429,154.445379342144,143.605248046244
1.45,150.569655838228,154.227766187128,143.58312329584
1.46,150.557495022596,154.081114704082,143.754617577354
1.47,150.70128286849,154.321416612623,143.98756716851
1.48,150.583424813305,154.021023170128,144.029709717202
1.49,150.411457641855,153.71888055046,144.124239364026
1.5,150.085765808932,153.529477382721,143.89750802756
1.51,150.196081412995,153.138881257888,144.334102005816
1.52,149.59844209402,152.526376177847,143.819124693392
1.53,149.264944016061,151.9352845534,143.787902393002
1.54,148.966886973095,151.724959427548,143.504216022782
1.55,148.317937180653,150.824225924939,143.213399390512
1.56,147.784953776802,150.079372691031,142.959378009596
