"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
1750,1750,0.97891944033736,1750,1.299444233708,1750,1.21554469383485
1800,1800,0.108777721632705,1800,0.357893711111126,1800,0.249149744587214
1850,1850,0.0764646453771423,1850,0.3207553618875,1850,0.285982367706845
1900,1900,0.109239795079859,1900,0.357510582591026,1900,0.24832687402525
1950,1950,0.393576199519898,1950,0.636705782796561,1950,0.748645316426625
2000,2000,0.108556012711356,2000,0.356384974524225,2000,0.247898707131057
2050,2050,1.33889966812822,2050,1.3928311842212,2050,2.01552879480966
2100,2100,0.109562854282346,2100,0.358322061244241,2100,0.248775784778519
2150,2150,0.322991699128015,2150,0.0795394061220433,2150,0.38789186789476
2200,2200,0.109272417984866,2200,0.357553954741029,2200,0.248311268204398
2250,2250,0.062585706613793,2250,0.431986095181109,2250,0.369412483272577
2300,2300,0.10928082831365,2300,0.357652302187286,2300,0.248401258156303
2350,2350,0.71993062504821,2350,1.02960076219587,2350,0.958592952590833
2400,2400,0.107359996004453,2400,0.356528518769317,2400,0.249193511175782
2450,2450,1.86828569664818,2450,1.62264995730115,2450,1.5032071391257
2500,2500,0.110953572277468,2500,0.356518291122654,2500,0.245623197130761
2550,2550,0.600622707215748,2550,0.291751443922437,2550,0.51882416526532
2600,2600,0.114584899921896,2600,0.361459089571937,2600,0.246874240209659
2650,2650,0.111088224847878,2650,0.373015709461851,2650,0.264187430155031
2700,2700,0.113661698352543,2700,0.360582485742592,2700,0.246931301873377
2750,2750,0.103061553061521,2750,0.252677788425844,2750,0.35424768341616
2800,2800,0.114465275862885,2800,0.360164616582151,2800,0.245787757773337
2850,2850,0.11516808903078,2850,0.368478286902443,2850,0.253605080452177
2900,2900,0.118527974307603,2900,0.364762924964041,2900,0.246584122843797
2950,2950,4.35646838718166,2950,4.08256443626138,2950,4.05783031320594
3000,3000,0.110254503915109,3000,0.351440462882923,3000,0.24122171965272
3050,3050,0.951431370937099,3050,1.05007479532987,3050,1.27153422536892
3100,3100,0.103722818862276,3100,0.355143637022988,3100,0.251430557615242
3150,3150,0.0968876374610079,3150,0.335939096599663,3150,0.239063821039242
3200,3200,0.107932623159259,3200,0.356722248181927,3200,0.248789926699306
3250,3250,0.236976137339772,3250,0.241298606105814,3250,0.0903488091737871
3300,3300,0.109504589898246,3300,0.357271290446414,3300,0.247769961141507
3350,3350,0.147838996172854,3350,0.394002449653219,3350,0.248160547892751
3400,3400,0.111632973658324,3400,0.360343319729037,3400,0.248797539330669
3450,3450,0.274541525657212,3450,0.322432242048026,3450,0.540259078728973
3500,3500,0.108210997523781,3500,0.352757598087812,3500,0.244591442843229
3550,3550,0.362689576651494,3550,0.421410163048828,3550,0.0614285559565323
3600,3600,0.109592458819292,3600,0.355190367039215,3600,0.245603863376532
3650,3650,0.0722557364339007,3650,0.362411656751873,3650,0.291433898468547
3700,3700,0.110236512957728,3700,0.355847396852706,3700,0.245610883940252
3750,3750,0.118408084688045,3750,0.36579709743095,3750,0.247816920079711
