"Freq [kHz]","mag(SolidLoss) [W]"
0,159.650569809336
0.05,2.41042798124021
0.1,1.91493410513601
0.15,1.75152044317758
0.2,1.66242760239938
0.25,1.63486357915771
0.3,1.61547108639856
0.35,1.57728664997707
0.4,1.53103949356581
0.45,1.5442797734491
0.5,0.46987619903278
0.55,1.54374933418276
0.6,1.58535894948188
0.65,1.65794058940678
0.7,1.7547394789676
0.75,1.814696571874
0.8,1.8747685579292
0.85,2.01950550557674
0.9,2.19820555247196
0.95,2.28911558167225
1,4.68835066938905
1.05,2.39577445338259
1.1,2.34635350568238
1.15,2.61358818745368
1.2,2.87009826034475
1.25,2.94252963815345
1.3,3.13304517746876
1.35,3.44943739291784
1.4,3.77083913230702
1.45,4.10611229944351
1.5,18.8721715479764
1.55,4.00673617805001
1.6,3.6151898121973
1.65,3.2484976481118
1.7,2.93308146485582
1.75,2.65281773354817
1.8,2.40922375727262
1.85,2.22539071821242
1.9,2.05834178812983
1.95,1.90191006037815
2,0.600803634236028
2.05,1.67617174940089
2.1,1.59457054944561
2.15,1.49529065820414
2.2,1.41200794868566
2.25,1.34430355633396
2.3,1.09618924647215
2.35,1.21356324363647
2.4,1.23863473885121
2.45,1.09860636839754
2.5,20.7176276989286
2.55,1.02043426847264
2.6,0.979277755738131
2.65,0.940051125466373
2.7,0.906615941972719
2.75,0.874371119221141
2.8,0.853627446816558
2.85,0.830795108389652
2.9,0.825352122544979
2.95,0.813162627984543
3,19.1456513761903
3.05,0.88716877982726
3.1,0.847236572519094
3.15,0.819118167861754
3.2,0.789631937406068
3.25,0.753949116089893
3.3,0.724121715259537
3.35,0.695179484148869
3.4,0.666148021821451
3.45,0.642806292740036
3.5,4.55862603860199
3.55,0.593653840388115
3.6,0.580640817331446
3.65,0.550642073151152
3.7,0.523908180560054
3.75,0.510774297806691
3.8,0.497277615597209
3.85,0.473789336553918
3.9,0.455504975333603
3.95,0.43965010718311
4,0.510850678881119
4.05,0.406059383810443
4.1,0.384217044617936
4.15,0.376299464646007
4.2,0.366822161646602
4.25,0.348998762849796
4.3,0.33488770894982
4.35,0.32453459035685
4.4,0.311140148102584
4.45,0.30377603656223
4.5,13.1621625857821
4.55,0.281014726359432
4.6,0.266924149347296
4.65,0.265530035973072
4.7,0.254680391843221
4.75,0.252979306402591
4.8,0.247530473710142
4.85,0.244587052511617
4.9,0.245321248353772
4.95,0.24064535682113
5,0.215280253216624
