"H (A_per_meter)" 	"B (tesla)"
0.0000	0.0000
27.4050	0.1000
39.0410	0.2000
49.5470	0.3000
60.5440	0.4000
72.6110	0.5000
86.2470	0.6000
102.2800	0.7000
121.8800	0.8000
147.2200	0.9000
183.3200	1.0000
241.4400	1.1000
354.6000	1.2000
612.7300	1.3000
1212.2000	1.4000
2518.0000	1.5000
3800.0000	1.5500
5500.0000	1.6000
7300.0000	1.6500
9300.0000	1.7000
