#NSGA2
popsize 128
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	128
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2494	200	730	18.7371	13.622	984	10	9	480	15	70	333	4	0.142173	39361.6	0.000148776
2584	194	749	17.01	13.6217	1000	11.9678	5	484	7	73	332	4	0.153084	37949.2	0.00015048
2584	192	749	17.01	13.6217	966	12.2656	5	484	7	73	332	4	0.152046	38011.9	0.00015048
2530	192	740	16.7584	13.582	1022	16.2068	9	467	4	56	343	5	0.151819	38706.9	0.00015048
2590	187	770	18.1319	13.6037	960	13.72	8	479	3	77	334	5	0.152643	38910	0.00015048
2601	197	734	17.7424	13.4147	975	13.4472	6	486	15	60	342	5	0.152886	38938.4	0.00015048
2601	197	734	17.7424	13.4147	975	12.9255	6	486	14	60	343	5	0.152567	38942.8	0.00015048
2625	198	766	19.0552	13.5035	975	11.6144	9	484	15	71	335	4	0.148449	38971.1	0.00015048
2496	189	731	17.0842	13.4627	1004	16.0801	9	482	19	77	349	5	0.149545	39000.6	0.00015048
2668	198	743	18.5961	13.498	996	10.924	5	474	8	80	332	5	0.152373	39033.5	0.00015048
2601	197	730	17.7424	13.4147	975	12.9255	6	486	6	60	340	5	0.151136	39102.8	0.00015048
2534	186	753	17.4786	13.5666	1049	12.0002	6	473	14	75	336	4	0.148079	39126.2	0.00015048
2663	193	773	19.181	13.2691	1013	12.3793	10	475	19	75	349	5	0.14758	39185.7	0.00015048
2483	223	729	23.2366	12.9037	958	17	10	481	7	78	348	4	0.152843	38957.9	0.0001521
2486	223	730	23.2366	12.9037	958	13.4329	10	481	7	73	348	4	0.152781	38971.8	0.0001521
2490	218	737	23.838	13.1084	954	15.8123	9	474	12	71	343	5	0.153245	39143.7	0.0001521
2490	218	737	23.838	13.1084	963	12.9604	9	474	12	71	343	5	0.153204	39189.5	0.0001521
2670	171	755	15.8277	14.2448	1018	15.1183	8	469	7	67	338	5	0.150796	38760.4	0.000152995
2681	171	755	15.8277	14.2448	1018	15.241	8	469	7	57	338	5	0.150447	38841.7	0.000152995
2675	171	738	15.8401	14.3167	977	16.1514	7	475	11	72	333	5	0.14886	38957.1	0.000152995
2668	166	736	16.3348	14.2482	985	12.5739	9	469	6	68	348	4	0.149345	39099.4	0.000152995
