#NSGA2
popsize 126
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	126
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2684	171	751	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.135998	38936.6	0.000155156
2564	170	764	16.5971	14.2904	972	15.6196	10	467	17	77	345	5	0.139973	39009.9	0.000155208
2483	199	738	17.2343	13.9473	1000	10.3682	8	480	1	65	339	5	0.152797	37743.8	0.000155226
2532	172	762	16.4795	14.317	1038	16.6211	5	484	2	79	348	6	0.143567	38903.4	0.000155227
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	64	332	4	0.145921	39301	0.000155284
2610	201	741	19.0586	13.9893	969	16.1585	10	483	6	61	332	4	0.150789	37777.9	0.000155314
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	62	332	4	0.145921	39296.5	0.000155328
2634	169	750	18.9536	14.2857	985	14.7713	7	472	7	64	339	6	0.127821	39133.8	0.000155395
2532	198	740	19.1278	13.8135	969	14.461	7	469	8	75	336	5	0.140642	38633	0.000155401
2512	196	763	17.5874	13.7885	962	11.7643	10	468	14	57	342	5	0.151672	38221.4	0.000155411
2512	196	763	17.5874	13.7885	962	11.4558	10	468	14	57	342	5	0.151672	38267.8	0.000155426
2662	193	775	18.7226	14.0893	1012	13.5105	10	484	17	74	343	6	0.151393	37568.6	0.000155428
2673	193	773	18.7226	14.0893	1012	14.3177	10	484	17	73	343	6	0.150406	37608.7	0.000155434
2673	193	772	18.7226	14.0893	1012	14.3177	10	484	17	75	343	6	0.150646	37573.3	0.000155439
2673	193	774	18.7226	14.0893	1012	14.3177	10	484	17	67	343	6	0.150677	37660.7	0.000155448
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.141227	38722.6	0.000155511
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.141227	38722.6	0.000155511
2564	180	764	16.5971	14.2904	984	14.8228	10	471	17	77	345	5	0.150891	38582.6	0.000155521
2517	198	740	19.1278	13.8135	966	14.3279	7	469	8	75	339	5	0.141227	38722.6	0.000155524
2607	186	739	17.5849	14.2241	1046	11.3913	8	471	8	58	348	5	0.149954	38368	0.000155529
2607	186	739	17.5849	14.2241	1046	11.3913	8	471	8	58	348	5	0.149954	38368	0.000155529
2599	186	760	18.1775	14.1908	1033	15.371	8	469	3	71	333	5	0.150647	38047.4	0.000155557
2585	165	738	16.9292	14.3645	1039	13.5378	8	483	10	65	349	5	0.1386	39453.5	0.000155561
2585	165	738	16.9292	14.373	1039	13.5378	8	483	10	65	349	5	0.1386	39453.5	0.000155561
2670	170	754	18.0252	14.3708	992	13.5689	10	481	7	65	344	6	0.135848	39464.5	0.000155571
2599	186	760	18.1775	14.1908	1026	15.371	8	469	3	71	333	5	0.150647	38068.1	0.000155581
2607	186	739	17.5849	14.2241	1050	12.6885	8	471	8	58	348	5	0.149917	38359	0.000155608
2564	160	749	16.7543	14.4478	1049	14.8409	7	472	8	72	335	5	0.136877	39350.2	0.000155615
2528	194	740	16.6053	13.9688	968	10.4289	8	482	4	59	344	5	0.151389	37860.4	0.000155691
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.147216	37036.5	0.000155694
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.147216	37036.5	0.000155694
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.147216	37036.5	0.000155694
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	338	4	0.149074	37036.5	0.000155694
2618	196	765	18.7854	14.371	948	14.1447	7	483	18	68	340	4	0.149074	37047	0.000155694
