#NSGA2
popsize 1000
maxGen 30
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 30
currentGen	1
evaluateCount	1000
totalTime	169121
firstFrontCount	271
frontCount	5
avgEvalTime	2244.59
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
11209	361	3009	22.449	29.1561	1763	15.6644	6	528	17	66	67	3	1.02885e+06	6.18735e-05	0.219	
11141	368	3037	17.3101	24.9432	1716	18.6787	6	520	14	65	31	5	1.15373e+06	5.44099e-05	0.2802	
11128	321	3048	22.3162	25.0663	1719	18.8029	7	529	17	67	47	5	1.07313e+06	5.72803e-05	0.2661	
10246	393	2990	18.2384	27.5971	1803	14.0583	4	521	17	63	4	3	1.15891e+06	6.29921e-05	0.1502	
11076	276	2995	16.6886	25.1345	1858	14.3877	10	531	8	58	11	4	1.23632e+06	5.37692e-05	0.2613	
10587	392	3039	18.6164	26.9211	1843	18.5611	8	535	4	59	8	4	1.11793e+06	5.94495e-05	0.1529	
10257	328	3005	23.3307	26.591	1764	17.196	5	525	12	60	53	4	1.10792e+06	6.7792e-05	0.1385	
10019	311	3042	17.9084	22.4402	1757	18.4694	7	527	3	56	19	5	1.24832e+06	6.12182e-05	0.1121	
10281	400	2975	22.26	27.3636	1853	18.3846	7	534	6	65	11	4	1.07995e+06	6.54407e-05	0.1679	
11413	350	2954	24.7353	23.3763	1843	18.7159	6	527	17	70	63	4	1.039e+06	5.62398e-05	0.3387	
10141	311	3042	17.9084	23.2998	1778	18.4694	6	530	5	56	19	5	1.2342e+06	5.9891e-05	0.1128	
10722	371	3026	23.6701	27.7352	1855	16.8633	7	531	7	68	37	5	1.04525e+06	6.31552e-05	0.2088	
10923	369	2970	17.5789	27.3753	1886	16.7621	7	534	17	57	15	3	1.13295e+06	5.79072e-05	0.196	
11068	378	2950	22.7557	26.9638	1719	16.8661	10	526	7	81	67	4	1.02778e+06	6.15233e-05	0.2616	
10332	311	3042	17.9084	22.7994	1837	18.4694	6	527	3	56	19	5	1.221e+06	5.73987e-05	0.1799	
10723	394	3004	20.2061	22.967	1806	18.7862	9	532	19	69	75	3	1.10259e+06	5.97407e-05	0.1988	
11229	381	2981	23.9534	29.7508	1751	17.9572	6	524	8	59	11	6	1.00595e+06	6.24376e-05	0.2739	
11229	381	2992	23.9534	29.0129	1731	15.2159	6	524	8	58	9	6	1.00847e+06	6.13384e-05	0.2843	
10535	400	3023	18.6951	23.1434	1746	15.9352	9	530	15	78	20	5	1.13645e+06	5.73099e-05	0.2293	
11287	347	3030	15.4966	25.4642	1797	16.5601	7	535	6	66	36	5	1.23675e+06	5.33163e-05	0.2684	
11065	368	3037	17.3101	24.9432	1856	18.6787	6	520	16	65	31	5	1.15617e+06	5.44099e-05	0.2748	
10917	400	2977	24.0528	27.6703	1754	17.6481	9	514	11	65	23	4	1.01366e+06	6.22394e-05	0.2716	
10831	309	3005	16.4565	24.5252	1833	14.1552	7	522	20	56	24	3	1.23206e+06	5.49571e-05	0.231	
10019	311	3042	18.1198	23.2998	1757	18.4694	7	527	3	56	19	5	1.23645e+06	6.21427e-05	0.1081	
11001	335	2994	15.2572	21.6771	1730	15.1824	8	530	9	71	23	4	1.2836e+06	5.13584e-05	0.2822	
11246	336	3015	17.772	23.117	1782	16.1298	5	527	7	62	39	4	1.1633e+06	5.21839e-05	0.3337	
11287	347	3030	15.4966	25.4642	1804	16.4585	7	533	5	66	17	5	1.23409e+06	5.27009e-05	0.2812	
11295	377	3016	22.8145	26.3102	1845	16.6552	10	521	15	73	26	3	1.01412e+06	5.68343e-05	0.3282	
11201	290	2957	17.8119	21.873	1704	14.747	8	529	14	85	8	5	1.19971e+06	5.12899e-05	0.3486	
10841	387	3018	15.4484	22.7081	1817	18.9246	9	523	4	59	54	5	1.26564e+06	5.46837e-05	0.2453	
11412	265	3014	21.8387	20.6126	1787	15.4866	8	521	14	76	5	5	1.16176e+06	5.01203e-05	0.4499	
10957	396	3019	22.0987	25.8067	1894	16.4989	9	510	5	62	49	4	1.04259e+06	5.87441e-05	0.3088	
11061	385	3034	21.4868	27.6366	1851	14.0729	10	527	19	70	41	4	1.03672e+06	5.92382e-05	0.2501	
11199	320	3035	15.1547	20.1018	1827	17.3889	6	533	4	71	34	4	1.31244e+06	4.88114e-05	0.3651	
11048	340	2980	16.8009	24.6168	1720	15.2243	7	526	2	64	15	3	1.18332e+06	5.40716e-05	0.2714	
11112	379	3047	21.8456	22.5588	1811	16.1079	6	513	13	71	51	5	1.07133e+06	5.45256e-05	0.3494	
10921	337	3002	15	21.6771	1730	16.1463	8	530	10	71	27	4	1.05295e+06	6.43832e-05	0.1989	
10643	373	2974	24.4782	24.9749	1811	17.851	8	523	9	58	72	4	1.05295e+06	6.43832e-05	0.1989	
11068	400	2951	22.7557	28.3385	1761	16.8661	10	527	3	81	67	4	1.01577e+06	6.28417e-05	0.2474	
10328	378	3007	18.3278	25.6329	1747	16.3116	4	516	10	56	42	5	1.17038e+06	6.20617e-05	0.1528	
10299	345	2981	20.3236	29.0942	1708	14.9713	6	514	17	61	34	4	1.11956e+06	6.71231e-05	0.1372	
10019	342	3042	17.9084	23.2998	1757	18.4694	7	533	3	60	19	5	1.22892e+06	6.26331e-05	0.1317	
11381	369	2975	16.7224	23.4794	1856	15.2081	9	520	15	64	13	5	1.16703e+06	5.08518e-05	0.3845	
10481	273	2962	21.7248	24.8923	1706	17.5453	8	524	13	58	56	3	1.14907e+06	6.35001e-05	0.1487	
10723	394	3004	20.2061	24.7238	1806	18.7862	8	532	19	69	75	3	1.09683e+06	6.12858e-05	0.1928	
10706	349	3001	23.2329	26.9893	1787	15.9799	9	532	6	61	9	5	1.0541e+06	6.16409e-05	0.2147	
10893	351	2989	24.2765	29.9322	1728	14.594	7	519	19	62	16	4	1.02876e+06	6.4834e-05	0.2314	
11229	294	2952	17.736	22.6639	1703	15.9501	8	529	19	84	18	4	1.18925e+06	5.22193e-05	0.3229	
11169	374	2973	16.9094	25.4291	1872	15.3191	6	529	12	61	7	6	1.15765e+06	5.3775e-05	0.2798	
10200	391	2998	23.5449	29.4328	1840	18.5077	6	511	12	59	65	4	1.08319e+06	7.23484e-05	0.1449	
