#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	33845.8
firstFrontCount	56
frontCount	10
avgEvalTime	2210.96
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2690	198	741	18.8011	13.9126	992	16.3493	7	482	18	73	343	5	0.155304	38685.5	0.000339328	
2700	165	766	18.9168	14.2405	1028	15.8382	8	484	10	80	342	5	0.138817	40530.6	0.000338295	
2700	165	763	19.1555	14.2405	1028	15.8382	8	484	11	80	342	5	0.137652	40550	0.000339328	
2698	174	768	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0.145595	39880	0.000314169	
2698	174	768	18.7938	14.2543	1039	16.6489	7	474	20	72	339	5	0.145595	39824.1	0.000316556	
2690	198	741	18.8011	13.9494	974	15.1413	7	478	18	73	343	5	0.155304	38722.8	0.000338295	
2690	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0.155304	38770.2	0.000338066	
2690	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0.155304	38770.2	0.000338066	
2605	191	741	19.253	13.6842	999	14.5663	10	470	20	73	333	6	0.144079	39200.7	0.000385356	
2696	172	769	17.4877	14.3392	957	16.2337	8	486	11	80	344	6	0.150063	40086.3	0.00034638	
2696	172	769	17.4877	14.3392	957	16.2337	8	487	11	78	344	6	0.150063	40113.5	0.000343171	
2690	198	739	18.8011	13.9126	965	15.1413	7	478	13	73	343	5	0.154884	38921.7	0.000337838	
2682	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0.154828	38734	0.000347343	
2492	196	755	18.1956	13.6536	994	14.3832	8	472	3	68	333	4	0.147396	38261.1	0.000536193	
2515	195	733	17.7004	13.6536	994	14.026	6	482	7	71	333	5	0.146184	38213	0.000512821	
2515	195	753	18.7131	13.6536	994	14.026	7	487	6	66	333	4	0.146009	38401.4	0.000487329	
2628	193	759	18.8171	13.9373	947	13.6061	8	470	19	74	339	6	0.15209	39055.2	0.000382263	
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	347	6	0.148502	39715.8	0.000348311	
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	347	6	0.148502	39715.8	0.000348311	
2700	174	757	19.0663	14.4503	1004	16.1831	7	474	20	70	339	5	0.14236	40028.9	0.000314169	
2700	192	772	19.2699	14.3869	962	16.7921	10	472	15	74	342	6	0.156463	38794.5	0.000322893	
2700	192	772	19.2699	14.3869	962	16.7921	10	472	15	74	342	6	0.156463	38794.5	0.000322893	
2622	198	743	18.8011	13.8456	974	15.1413	7	478	17	72	343	5	0.151672	38616.9	0.00040404	
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	344	6	0.148502	39735.6	0.000339559	
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	344	6	0.148502	39735.6	0.000339559	
2594	196	737	16.8159	13.7801	1001	10.8566	10	476	19	79	335	5	0.156513	37978.2	0.000422833	
2698	172	750	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0.140902	40068.5	0.000318066	
2698	172	750	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0.140902	40068.5	0.000318066	
2622	198	743	18.8011	13.8456	974	15.1413	7	478	17	72	332	5	0.151672	38604.6	0.000363901	
2698	172	761	18.7938	14.4503	1004	14.4894	7	474	18	72	339	5	0.142969	39831.3	0.00031837	
2696	172	761	17.4877	14.194	1019	13.0203	10	480	11	78	344	6	0.148502	39702.2	0.000343171	
2700	192	770	19.2699	14.3869	962	13.8435	10	472	15	74	341	6	0.156057	38616.9	0.000320821	
2696	172	761	17.4877	14.194	1019	13.3558	10	471	11	77	344	6	0.148502	39660.5	0.000337724	
2619	197	737	18.9491	13.8343	1015	14.1407	7	489	19	65	332	4	0.14904	38673.2	0.000358038	
2690	198	769	19.2699	14.3869	962	16.7921	10	473	15	74	341	6	0.159231	38317.6	0.000329707	
2698	172	755	18.7938	14.4503	999	13.8475	7	485	20	70	338	5	0.141842	39991.8	0.000317158	
2696	193	769	18.7689	14.3869	962	16.7921	10	471	17	77	341	6	0.158213	38395.8	0.000329598	
2696	193	769	18.7689	14.3869	962	16.7921	10	471	17	77	341	6	0.158213	38395.8	0.000329598	
2542	192	748	16.8159	13.7302	1000	10.8566	10	476	18	79	335	4	0.15311	38190.2	0.00050025	
2650	174	768	17.4877	14.1852	1004	16.4838	8	468	15	77	332	6	0.148492	39630.9	0.000339443	
2690	193	769	19.2699	14.3869	962	16.7921	10	471	15	76	341	6	0.155918	38527.3	0.000332447	
2690	192	772	19.2699	14.3869	962	16.7921	10	473	15	74	341	6	0.155862	38733.7	0.000329056	
2690	192	775	19.2699	14.3869	962	16.8949	10	471	15	74	343	6	0.156468	38719.8	0.000333333	
2679	174	767	17.4877	14.3091	1004	16.6709	8	468	15	77	335	6	0.149995	39522.5	0.000326904	
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	67	332	6	0.154247	38525.8	0.000407166	
2513	198	755	17.3995	13.8147	982	14.7142	10	476	4	76	332	5	0.153492	37716.2	0.000517598	
2690	192	772	19.2699	14.3869	962	16.7921	10	471	15	74	341	6	0.155862	38739.1	0.000328623	
2690	192	772	19.2699	14.3869	962	17	10	471	15	74	343	6	0.155862	38715.7	0.000334001	
2690	192	772	19.2699	14.3869	962	17	10	471	15	74	343	6	0.155862	38720.2	0.000334001	
2577	172	763	17.1236	14.3392	1035	16.2337	10	486	11	77	349	6	0.143829	39269.4	0.000523013	
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	72	332	6	0.154247	38207.7	0.000422297	
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	72	332	6	0.154247	38207.7	0.000422297	
2638	161	767	19.2594	14.2597	1016	16.8374	9	487	15	64	337	5	0.131818	42014.4	0.000348918	
2688	174	746	19.0799	14.4044	1037	15.798	8	466	11	64	332	5	0.139636	40575.6	0.000297265	
