#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2647	191	742	19.2264	13.6683	1010	14.4713	8	488	13	78	335	6	0	0	0
2697	172	769	17.4877	14.3392	1035	16.2337	10	486	17	77	344	5	0	0	0
2640	193	741	19.2264	13.6683	1010	14.4713	8	488	12	80	335	6	0	0	0
2690	198	741	18.8011	13.9126	992	16.3493	7	479	18	73	343	5	0	0	0
2690	198	741	18.8011	13.9126	992	16.3493	7	482	18	73	343	5	0	0	0
2700	165	766	18.9168	14.2405	1028	15.8382	8	484	10	80	342	5	0	0	0
2700	165	763	19.1555	14.2405	1028	15.8382	8	484	11	80	342	5	0	0	0
2698	174	768	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0	0	0
2698	174	768	18.7938	14.2543	1039	16.6489	7	474	20	72	339	5	0	0	0
2690	198	741	18.8011	13.9494	974	15.1413	7	478	18	73	343	5	0	0	0
2690	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0	0	0
2690	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0	0	0
2605	191	741	19.253	13.6842	999	14.5663	10	470	20	73	333	6	0	0	0
2696	172	769	17.4877	14.3392	957	16.2337	8	486	11	80	344	6	0	0	0
2696	172	769	17.4877	14.3392	957	16.2337	8	487	11	78	344	6	0	0	0
2690	198	739	18.8011	13.9126	965	15.1413	7	478	13	73	343	5	0	0	0
2682	198	741	18.8011	13.9126	974	15.1413	7	478	18	73	343	5	0	0	0
2492	196	755	18.1956	13.6536	994	14.3832	8	472	3	68	333	4	0	0	0
2515	195	733	17.7004	13.6536	994	14.026	6	482	7	71	333	5	0	0	0
2515	195	753	18.7131	13.6536	994	14.026	7	487	6	66	333	4	0	0	0
