"Freq [kHz]","mag(CoreLoss(PoleShoe)) [W]"
0,763.4140682348
0.05,26.7862321860761
0.1,37.9608471153327
0.15,20.019991318446
0.2,19.1923098368535
0.25,11.761871690101
0.3,12.0367288214398
0.35,10.0267318426227
0.4,7.03401560750333
0.45,10.4593600701946
0.5,21.0556528676658
0.55,10.8108722939252
0.6,10.3806708737853
0.65,9.37158169724895
0.7,11.4172643723692
0.75,7.78152478834761
0.8,7.47845530812401
0.85,6.98478208401614
0.9,7.49966711348603
0.95,8.16591394354222
1,5.29700029330417
1.05,7.80723951599309
1.1,10.5245286240977
1.15,7.35692338491626
1.2,8.67260380882509
1.25,5.75848078676843
1.3,0.437242923921001
1.35,5.11414330164467
1.4,9.94141381253063
1.45,6.51235152520644
1.5,11.1689632688302
1.55,7.88413292154337
1.6,12.3888064615058
1.65,8.10632119272184
1.7,7.72697156080716
1.75,6.54787805592226
1.8,5.92218520617648
1.85,7.61016458754712
1.9,5.77985319576094
1.95,6.93561932518422
2,5.59541781974322
2.05,6.73058497776991
2.1,6.34009991144786
2.15,6.19385342824009
2.2,6.92672606852207
2.25,5.29489665539076
2.3,5.10388411699777
2.35,4.92299082789995
2.4,4.65663137836733
2.45,5.15029172300623
2.5,9.36305835880743
2.55,4.63830045311391
2.6,4.73539432151713
2.65,3.8940766698023
2.7,4.23267413855511
2.75,3.56295472759839
2.8,3.83263106134701
2.85,4.32253630030559
2.9,4.25018189489651
2.95,4.00234924302102
3,27.3656099603903
3.05,3.73946612472203
3.1,4.49845801228823
3.15,3.92668822176127
3.2,3.54210168017355
3.25,4.00512773002794
3.3,3.60778043903251
3.35,3.60562287857403
3.4,3.57152556026538
3.45,3.79621690959658
3.5,4.02074154096061
3.55,3.37610464085189
3.6,3.72978954653892
3.65,3.34719000023061
3.7,3.24559410687069
3.75,3.36803523617062
3.8,3.47864864151097
3.85,3.3638848205847
3.9,3.2952583580845
3.95,3.32854576191625
4,3.08514886482624
4.05,3.25310038411786
4.1,3.25019831012556
4.15,3.37011792087161
4.2,3.41507555567681
4.25,3.33748300760912
4.3,3.47479213432042
4.35,3.48133740109772
4.4,3.58474139483386
4.45,3.64761248745458
4.5,4.47610612676111
4.55,3.44102545673272
4.6,3.40528306519382
4.65,3.30426820272618
4.7,3.3578110461861
4.75,3.2523146742319
4.8,3.28931395631179
4.85,3.39217388857765
4.9,3.17107838569332
4.95,3.3473100471588
5,2.97209390503112
