"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.0810382588876673,0,0.0292016670062745,0,0.110239925893941
50,50,4145.4601056494,50,4145.51960686128,50,4145.63503031246
100,100,0.2801438137701,100,0.259797598816594,100,0.224568985685016
150,150,0.184881468588494,150,0.158608515761983,150,0.145667789440614
200,200,0.185703857671183,200,0.158547501676292,200,0.112681298761609
250,250,9.79599609823376,250,9.67855919365385,250,9.50338574146115
300,300,0.217739149799178,300,0.0809858456332069,300,0.150019388720229
350,350,4.44079439816366,350,4.50180178382337,350,4.4390333280072
400,400,0.214054403219079,400,0.0957339632676927,400,0.134471562328422
450,450,0.781548230520462,450,0.824069053890654,450,0.540426869893337
500,500,0.21392244639332,500,0.0925982587148114,500,0.132381923043465
550,550,2.63089543823365,550,2.45904055079409,550,2.43589168854048
600,600,0.216206967105285,600,0.100662234533259,600,0.12552951344522
650,650,4.37142248723652,650,4.24420071195505,650,4.4064082784866
700,700,0.211695060981323,700,0.0908291235050528,700,0.126901542262381
750,750,0.092087651366854,750,0.101844006665833,750,0.142010148286404
800,800,0.213837218130181,800,0.0891361427447992,800,0.130386237747835
850,850,3.68643654459808,850,3.49249126534329,850,3.60050168329444
900,900,0.22058682724135,900,0.103103931218349,900,0.121556250902659
950,950,0.66992478209888,950,0.173097831632327,950,0.608129710337225
1000,1000,0.217966758983428,1000,0.0914141094218303,1000,0.129046470241072
1050,1050,14.619578030302,1050,14.702497076658,1050,14.842040622564
1100,1100,0.218843638036586,1100,0.0934047771599797,1100,0.127923234842547
1150,1150,0.735227713723238,1150,0.840823464780084,1150,0.67030663182255
1200,1200,0.218731524884169,1200,0.0932127632886715,1200,0.127920346400418
1250,1250,3.42939593995642,1250,3.61642260330858,1250,4.42082277366047
1300,1300,0.218267287555103,1300,0.0921384452239191,1300,0.128586842670404
1350,1350,0.204225686375337,1350,0.0343243347886847,1350,0.180304931264043
1400,1400,0.213057365028751,1400,0.0893136488777151,1400,0.127469133391965
1450,1450,62.2651316401149,1450,62.3684710503797,1450,62.1656907123582
1500,1500,0.230804732864738,1500,0.0996786536978065,1500,0.131180779009879
1550,1550,30.0569056208462,1550,30.1468271968282,1550,30.1969033849473
1600,1600,0.228846344698086,1600,0.0945364762707329,1600,0.135206760578431
1650,1650,0.213405518988308,1650,0.0984735844783625,1650,0.114934465560754
1700,1700,0.227236640306997,1700,0.0949125382311431,1700,0.133055334084305
1750,1750,0.181617031623335,1750,0.0691283534923841,1750,0.116465211333997
1800,1800,0.226111287832578,1800,0.094891822155953,1800,0.131989004978012
1850,1850,0.265277998796475,1850,0.173581587167303,1850,0.108832410432665
1900,1900,0.226215415557951,1900,0.0947535632490778,1900,0.132113800942876
1950,1950,0.586054481186344,1950,0.435621583429107,1950,0.601914195074822
2000,2000,0.226129797758543,2000,0.0946615293091264,2000,0.132094605719763
2050,2050,0.336035100734939,2050,0.436793718098462,2050,0.482793408348471
2100,2100,0.22612580866097,2100,0.0946043055679104,2100,0.131972401075854
2150,2150,0.412045830025239,2150,0.451798277449284,2150,0.256415645499165
2200,2200,0.227118435074465,2200,0.095220542293045,2200,0.132401687245262
2250,2250,0.237391362148492,2250,0.0424507747651186,2250,0.207403419683698
2300,2300,0.226979799486551,2300,0.0950634757194035,2300,0.132354157105434
2350,2350,0.309083444295598,2350,0.503742676124734,2350,0.508151662568185
2400,2400,0.227103589922351,2400,0.0946889167409556,2400,0.132800448242761
2450,2450,1.83347117424503,2450,1.73429199444629,2450,1.35403082294139
2500,2500,0.227387117421469,2500,0.0948014991155779,2500,0.132936139805209
2550,2550,0.629237750677285,2550,0.770002275768097,2550,0.829872241966598
2600,2600,0.227243582865156,2600,0.0949453743295274,2600,0.132590902157961
2650,2650,0.250432179235826,2650,0.0885103803588176,2650,0.163859962903687
2700,2700,0.227368799237237,2700,0.0947866091122614,2700,0.132850854674999
2750,2750,0.272122825140059,2750,0.107186088209436,2750,0.182417557682363
2800,2800,0.227474357432461,2800,0.0947653965481571,2800,0.132960396644492
2850,2850,0.227365672692991,2850,0.0945294092400702,2850,0.133017490096733
2900,2900,0.227059687618103,2900,0.094050475823782,2900,0.13327462949012
2950,2950,2.42156366224612,2950,2.5799593088977,2950,2.39806506593648
3000,3000,0.228986616584726,3000,0.0956834854442661,3000,0.133419513444462
3050,3050,0.955254038711247,3050,1.11639530847869,3050,1.1372812247022
3100,3100,0.22828447674818,3100,0.0958256888544095,3100,0.13257837847991
3150,3150,0.228270944745916,3150,0.0970684961029111,3150,0.131301811804759
3200,3200,0.228457356160757,3200,0.0956036016283577,3200,0.13297006513219
3250,3250,0.231706735132911,3250,0.128429778945873,3250,0.103355937566881
3300,3300,0.228351260700536,3300,0.0954650478482993,3300,0.13300118370339
3350,3350,0.237204639424025,3350,0.106244576729715,3350,0.131288452098678
3400,3400,0.228405634732863,3400,0.0954451880142666,3400,0.133061324143803
3450,3450,0.182774111884135,3450,0.15581528696992,3450,0.0442726274688657
3500,3500,0.228608166707598,3500,0.0955561985631904,3500,0.133134817965494
3550,3550,0.458458068193563,3550,0.303194348708389,3550,0.252755260387473
