"Freq [kHz]","mag(SolidLoss) [W]"
0,8570.36478204866
0.0599999999999999,302.658533124137
0.12,335.325241551623
0.18,403.001148357276
0.24,526.468698458923
0.299999999999999,2332.64135850041
0.359999999999999,510.928537059896
0.419999999999999,390.367308008795
0.479999999999999,319.746884452022
0.539999999999999,266.917672189009
0.599999999999999,276.19401815145
0.659999999999999,208.174487831521
0.719999999999999,166.590809588568
0.779999999999998,163.918193936777
0.839999999999998,146.251961946406
0.899999999999998,136.393042696345
0.959999999999998,115.988622468674
1.02,95.3887752954595
1.08,92.9409813517236
1.14,83.0139424722493
1.2,41.7986802536942
1.26,62.4605286095168
1.32,92.7642037291828
1.38,45.4882969588682
1.44,38.3364755839613
1.5,39.8873061202743
1.56,55.1751918762402
1.62,249.171648332887
1.68,99.6503875290952
1.74,93.8673140467078
1.8,184.107676481309
1.86,80.3958594532779
1.92,1600.11981183103
1.98,70.5464107422522
2.04,65.4203139835396
2.1,74.2013187296146
2.16,60.7111138650566
2.22,42.4522247690338
2.28,54.6035914862876
2.34,53.4746219988011
2.4,54.2476887673028
2.46,47.3250204949088
2.52,39.9918491718035
2.58,42.9275517868078
2.63999999999999,43.5637982466194
2.69999999999999,40.2333974522484
2.75999999999999,36.7409495342327
2.81999999999999,33.5689060871538
2.87999999999999,34.250881171124
2.93999999999999,32.4198665777513
2.99999999999999,29.9640159453906
3.05999999999999,28.7396584684299
3.11999999999999,32.8047876294553
3.17999999999999,25.5542704617414
3.23999999999999,34.4409436859693
3.29999999999999,25.0842378042246
3.35999999999999,22.6202363703295
3.41999999999999,21.2710486954273
3.47999999999999,19.1278425948679
3.53999999999999,19.0796756652233
3.59999999999999,13.9229366927629
3.65999999999999,16.6785044558724
3.71999999999999,17.7126789191999
3.77999999999999,14.7435377400995
3.83999999999999,11.6356959940811
3.89999999999999,13.123908400612
3.95999999999999,12.3931593450167
4.01999999999999,10.1763675963361
4.07999999999999,10.0410442747287
4.13999999999999,7.88958465191632
4.19999999999999,8.50725292259027
4.25999999999999,7.2971968353632
4.31999999999999,6.52673881158796
4.37999999999999,7.18490195608431
4.43999999999999,8.22358322215291
4.49999999999999,6.39265836159214
