"Freq [kHz]","mag(SolidLoss) [W]"
0,37.9287371907817
0.05,0.491417279241631
0.1,0.350831788273159
0.15,0.303304911228631
0.2,0.27708309739799
0.25,0.281682437181417
0.3,0.279021121190037
0.35,0.2765890244265
0.4,0.281320112692804
0.45,0.276887720959641
0.5,0.783361843297359
0.55,0.363838261124627
0.6,0.367574394885247
0.65,0.382492981913074
0.7,0.400137984570167
0.75,0.414294160112248
0.8,0.43269809149268
0.85,0.456483802674318
0.9,0.47831183569911
0.95,0.510203850741891
1,4.2054515981572
1.05,0.507059961515818
1.1,0.564597854123504
1.15,0.561165987353967
1.2,0.586415561510156
1.25,0.638387499303338
1.3,0.689129788027647
1.35,0.753009441119169
1.4,0.825269601220575
1.45,0.91514431892657
1.5,4.94785511883072
1.55,0.920340489522871
1.6,0.823358032343698
1.65,0.74782119633146
1.7,0.684474260015193
1.75,0.624858794261479
1.8,0.57437536319807
1.85,0.535329795436162
1.9,0.501455760860618
1.95,0.468927621712425
2,0.658773266972725
2.05,0.407310232383086
2.1,0.370386988217855
2.15,0.368328784975634
2.2,0.376620317427116
2.25,0.336264151749105
2.3,0.303721800201526
2.35,0.309567541582358
2.4,0.302206949362377
2.45,0.287696601854034
2.5,4.73741101226407
2.55,0.262041484073744
2.6,0.253140738962106
2.65,0.246463114172517
2.7,0.239338176289487
2.75,0.231878054997468
2.8,0.227274318711364
2.85,0.217797373175617
2.9,0.209602403362462
2.95,0.207405404613681
3,4.33524555225941
3.05,0.136544423153598
3.1,0.133236530348601
3.15,0.125809537760809
3.2,0.121227928105396
3.25,0.114335838616536
3.3,0.110478734956844
3.35,0.105173791069471
3.4,0.102973178391269
3.45,0.0968193679110013
3.5,0.937298649750573
3.55,0.0896352085466243
3.6,0.0918866262548626
3.65,0.0821361507017666
3.7,0.0772446782941687
3.75,0.0750272254691527
3.8,0.0720375170242858
3.85,0.0681367482260896
3.9,0.0646871571295601
3.95,0.0614650790770029
4,0.326421056669994
4.05,0.0544519665571997
4.1,0.050741608653831
4.15,0.0482028897806109
4.2,0.0449557477147364
4.25,0.0420905948515886
4.3,0.0394714047972461
4.35,0.0361528979844061
4.4,0.0336496321024787
4.45,0.0302546354247097
4.5,4.38176301013393
4.55,0.0253793947037002
4.6,0.0225218309783374
4.65,0.0196834374626067
4.7,0.0168190532585696
4.75,0.0141957381886452
4.8,0.0107824085138152
4.85,0.0089584017781458
4.9,0.00697805516599217
4.95,0.0046398322406949
5,0.00610294222107655
