"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.0723027294732816,0,0.0990441026916873,0,0.0267413732183973
50,50,3354.67915933027,50,3354.52472963155,50,3354.78610328132
100,100,0.0698908731339369,100,0.191441801969309,100,0.121627756310554
150,150,0.0805980771561896,150,0.191688767899178,150,0.119154130444933
200,200,0.0874955807565994,200,0.186046593463473,200,0.0986815656101166
250,250,7.20694884766078,250,7.09760406163375,250,7.19837283365011
300,300,0.0726841112376087,300,0.201547695512375,300,0.133203581432896
350,350,3.45224566937027,350,3.29960243212673,350,3.41145957794351
400,400,0.0667045315758668,400,0.190913617042649,400,0.128117719391879
450,450,0.499093889850423,450,0.383434642988208,450,0.416717910120657
500,500,0.0686900662476183,500,0.196429232243294,500,0.13485402254687
550,550,3.85593970105368,550,3.81644477792805,550,4.56112264135953
600,600,0.0550568671929954,600,0.161404696954692,600,0.106677882480624
650,650,2.3042100521483,650,2.42393760309845,650,2.47006557731822
700,700,0.0807342089815328,700,0.197772632581376,700,0.117922673163894
750,750,0.248889790715631,750,0.372998521192269,750,0.206177809898766
800,800,0.0748006002885788,800,0.192883606560376,800,0.118168025485909
850,850,4.39994275039658,850,4.46400013685848,850,4.56243800315596
900,900,0.0687366450368658,900,0.180760850496515,900,0.11209618143447
950,950,5.32413852578796,950,5.50543085966405,950,4.48626539630234
1000,1000,0.0702563884948083,1000,0.185887709470011,1000,0.115662440086912
1050,1050,16.0466903539746,1050,16.210303990104,1050,16.089812117114
1100,1100,0.0709178798696308,1100,0.18528601690406,1100,0.114373590694231
1150,1150,0.899361369974108,1150,0.770865238155645,1150,0.686641266645226
1200,1200,0.0715606560149919,1200,0.185333732465186,1200,0.113826591039416
1250,1250,2.23397498902302,1250,2.29489296164436,1250,2.68685079849875
1300,1300,0.0735145125026032,1300,0.187669950843958,1300,0.114244874650856
1350,1350,0.0753403738175018,1350,0.210941743892671,1350,0.136790802920429
1400,1400,0.0845298946696591,1400,0.195285828701876,1400,0.111674713096367
1450,1450,0.59340532494787,1450,0.61275876547427,1450,0.469763935996117
1500,1500,0.0470366786404423,1500,0.176720518097701,1500,0.129813420060594
1550,1550,31.6950925321491,1550,31.8366459896938,1550,31.6635117602277
1600,1600,0.0617570352562878,1600,0.179111579252993,1600,0.117354626715531
1650,1650,0.0613019788914954,1650,0.189138527511691,1650,0.129623115661672
1700,1700,0.0618110080951424,1700,0.179311849139035,1700,0.117501441902935
1750,1750,1.32675730506141,1750,1.47014997278156,1750,1.35597298083151
1800,1800,0.0641275325009435,1800,0.179416887984536,1800,0.115289498101374
1850,1850,0.0871314827963062,1850,0.125940957588413,1850,0.0887720736327978
1900,1900,0.0644291554238443,1900,0.179836715753827,1900,0.115408896684726
1950,1950,0.467069148680436,1950,0.61724229965578,1950,0.546630555928624
2000,2000,0.0641279621828165,2000,0.179415185429528,2000,0.115287954561626
2050,2050,0.921575799751824,2050,0.902597288612691,2050,1.69014057758978
2100,2100,0.0642100533086036,2100,0.179488709096498,2100,0.115281713930938
2150,2150,0.935933181025516,2150,0.7904184779778,2150,0.789289348710356
2200,2200,0.0641848838090068,2200,0.179302876825024,2200,0.115121508780113
2250,2250,0.0911434811809232,2250,0.258055232851549,2250,0.214172546584351
2300,2300,0.0642586687986953,2300,0.179249883329229,2300,0.114994559888139
2350,2350,0.535407407464542,2350,0.571300559131065,2350,0.428923556562298
2400,2400,0.0642462869140699,2400,0.179160652043227,2400,0.114918179691765
2450,2450,0.758487284189658,2450,0.875781160311649,2450,0.615520514596371
2500,2500,0.0644664686492769,2500,0.179286256724606,2500,0.114823247554303
2550,2550,0.32825186788899,2550,0.265578410953095,2550,0.409282558113239
2600,2600,0.0644352209550241,2600,0.179199606176732,2600,0.114768448481174
2650,2650,0.0739591157721087,2650,0.179860308817024,2650,0.106323945823113
2700,2700,0.0646365674399015,2700,0.179454702507414,2700,0.114822547438261
2750,2750,0.156511222476107,2750,0.216544893584994,2750,0.0805672705627057
2800,2800,0.0647338152402094,2800,0.179435660565701,2800,0.114714915669069
2850,2850,0.06242666797876,2850,0.180230693977477,2850,0.11780677217401
2900,2900,0.0659698301403101,2900,0.181001834866088,2900,0.11507664427021
