"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.193347728870049,0,0.126693109161405,0,0.0666546197084828
59.9999999999999,59.9999999999999,22890.3158800942,59.9999999999999,22889.9861459436,59.9999999999999,22887.6664863607
120,120,1.2619618127158,120,1.27739152152806,120,1.42664956644389
180,180,0.96323419469401,180,2.1240528682642,180,1.18282149519079
240,240,8.67649090546315,240,7.86347615641954,240,5.04246947792481
299.999999999999,299.999999999999,6.9598140753656,299.999999999999,7.4730769059491,299.999999999999,7.22911588832798
359.999999999999,359.999999999999,7.38046344038069,359.999999999999,7.23231319259442,359.999999999999,7.38786692490247
419.999999999999,419.999999999999,37.8959563594654,419.999999999999,38.1965551779413,419.999999999999,40.8593789642504
479.999999999999,479.999999999999,2.98363340492878,479.999999999999,3.15493772021296,479.999999999999,3.13598850020875
539.999999999999,539.999999999999,9.39068370798057,539.999999999999,8.75233553870902,539.999999999999,7.41323045278193
599.999999999999,599.999999999999,0.321845581546094,599.999999999999,0.426513867711831,599.999999999999,0.10562868986239
659.999999999999,659.999999999999,24.2682055434321,659.999999999999,27.2679744081863,659.999999999999,18.9405493579318
719.999999999999,719.999999999999,0.16543266240537,719.999999999999,0.421973941629175,719.999999999999,0.312338934544189
779.999999999998,779.999999999998,2.86054351509496,779.999999999998,2.98295984137172,779.999999999998,2.18343309293855
839.999999999998,839.999999999998,1.19331818105113,839.999999999998,0.975825146440959,839.999999999998,1.15233041327959
899.999999999998,899.999999999998,0.292810617036346,899.999999999998,0.360631001006418,899.999999999998,0.442364755627174
959.999999999998,959.999999999998,0.504662586363049,959.999999999998,0.276146572843604,959.999999999998,0.339872024379241
1020,1020,1.24745240273558,1020,1.09544540304302,1020,1.61288042621099
1080,1080,0.289531546440541,1080,0.327641991833908,1080,0.169312490917862
1140,1140,3.6176372337618,1140,3.17483382604147,1140,3.85073675997839
