"Freq [kHz]","mag(CoreLoss(PoleShoe)) [W]"
0,662.082083913037
0.05,27.2180640426572
0.1,27.4549958085778
0.15,20.592194511631
0.2,17.7359411732843
0.25,13.3816425332819
0.3,10.1897382668567
0.35,8.42448912977675
0.4,9.01443644457583
0.45,7.7660521508917
0.5,15.3069190770642
0.55,11.5536258061175
0.6,11.5793684313548
0.65,11.1107788817176
0.7,9.21730418153697
0.75,7.03748201811493
0.8,7.57964956328415
0.85,5.15349537295901
0.9,3.64505316363677
0.95,8.41395352518972
1,7.76535855661971
1.05,9.81059672472708
1.1,8.40251839391507
1.15,8.8787349227152
1.2,7.5029243966763
1.25,5.32153575947567
1.3,3.36399060905725
1.35,4.05071512478994
1.4,5.36973499571775
1.45,8.80354451311334
1.5,12.0331186856322
1.55,10.948565841817
1.6,8.6111294387066
1.65,8.82304397778042
1.7,8.83008449853552
1.75,6.87712537811275
1.8,6.34453949942117
1.85,6.63226853881066
1.9,6.49355232940281
1.95,6.06648724849281
2,3.30969829718309
2.05,5.68200589353408
2.1,6.39333711102403
2.15,5.72092290016041
2.2,4.90085755336059
2.25,5.32817292570913
2.3,5.95865042004403
2.35,4.93234088830398
2.4,5.19724320042394
2.45,5.18169022727077
2.5,22.027443679087
2.55,4.12771437261836
2.6,4.75066537832724
2.65,4.36322730811568
2.7,3.72664661534551
2.75,4.07469592968127
2.8,3.78391528976642
2.85,3.73318890981128
2.9,3.88033976273722
2.95,3.83677881265433
3,30.3876435210318
3.05,3.19570664591168
3.1,3.3719553797639
3.15,3.41870929495989
3.2,3.44132028888173
3.25,3.30656606081941
3.3,3.50972304528109
3.35,3.17328566082785
3.4,2.67110747549983
3.45,2.97482041291573
3.5,2.2227403414888
3.55,3.60282743536425
3.6,3.31210706999455
3.65,3.15763452963388
3.7,2.91609999891921
3.75,2.63882429324966
3.8,3.317984566946
3.85,3.01280043687706
3.9,2.66964135586046
3.95,3.00583728334882
4,2.05040454136771
4.05,3.04166238333622
4.1,2.92950106630497
4.15,2.95585848005531
4.2,2.9170429306825
4.25,2.95508547993775
4.3,3.08380530156632
4.35,3.1084494442494
4.4,3.13915850675959
4.45,3.14465459200276
4.5,6.09154583391616
4.55,3.02181380382159
4.6,2.98068120990079
4.65,2.98223606637555
4.7,2.91857850264516
4.75,3.09860934646905
4.8,3.01120050030714
4.85,2.89946654929938
4.9,2.72710564146103
4.95,2.85725467310647
5,2.11328689115961
