"Distance [mm]","Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*50)*1s [ms]","Flux_Lines [] - Time='0.02s'"
0,0,-0.100531406699936
0.70309,0.00999997346797102,-0.100531576215998
1.40618,0.019999946935942,-0.100531016940637
2.10927,0.029999920403913,-0.100529728796515
2.81236,0.0399998938718841,-0.100527711706816
3.51545,0.0499998673398551,-0.100525002078905
4.21854,0.0599998408078261,-0.100522860863079
4.92163,0.0699998142757971,-0.100520204991589
5.62472,0.0799997877437681,-0.100517002679839
6.32781,0.0899997612117391,-0.100513254143801
7.0309,0.0999997346797102,-0.100508940419871
7.73399,0.109999708147681,-0.100503586621599
8.43708,0.119999681615652,-0.100497995621361
9.14017,0.129999655083623,-0.100492371065962
9.84326,0.139999628551594,-0.100486713303991
10.54635,0.149999602019565,-0.100480888511189
11.24944,0.159999575487536,-0.100473757185018
11.95253,0.169999548955507,-0.100466298100184
12.65562,0.179999522423478,-0.100458577785718
13.35871,0.189999495891449,-0.100450596393242
14.0618,0.19999946935942,-0.100442474763114
14.76489,0.209999442827391,-0.100434558499627
15.46798,0.219999416295362,-0.100426219834353
16.17107,0.229999389763333,-0.100417448310521
16.87416,0.239999363231304,-0.100408244116331
17.57725,0.249999336699275,-0.100398851917223
18.28034,0.259999310167246,-0.100389581651794
18.98343,0.269999283635217,-0.100380005784955
19.68652,0.279999257103189,-0.100369905432738
20.38961,0.28999923057116,-0.100359280344786
21.0927,0.29999920403913,-0.100348312561065
21.79579,0.309999177507101,-0.10033748861208
22.49888,0.319999150975073,-0.100326331232568
23.20197,0.329999124443044,-0.100314769830448
23.90506,0.339999097911015,-0.100302804141828
24.60815,0.349999071378986,-0.100290279347868
25.31124,0.359999044846957,-0.100276743742554
26.01433,0.369999018314928,-0.100262822647012
26.71742,0.379998991782899,-0.100248593379417
27.42051,0.38999896525087,-0.100234055461686
28.1236,0.399998938718841,-0.100218858825619
28.82669,0.409998912186812,-0.10020259328223
29.52978,0.419998885654783,-0.100185629491243
30.23287,0.429998859122754,-0.100167869259549
30.93596,0.439998832590725,-0.100149312303969
31.63905,0.449998806058696,-0.10013001240784
32.34214,0.459998779526667,-0.10011018508346
33.04523,0.469998752994638,-0.100089500832167
33.74832,0.479998726462609,-0.100067864241169
34.45141,0.48999869993058,-0.100045275574419
35.1545,0.499998673398551,-0.100021955293737
35.85759,0.509998646866522,-0.0999981142462727
36.56068,0.519998620334493,-0.0999734487642846
37.26377,0.529998593802464,-0.0999478658300457
37.96686,0.539998567270435,-0.0999213658292327
38.66995,0.549998540738406,-0.0998942029588561
39.37304,0.559998514206377,-0.0998669156640923
40.07613,0.569998487674348,-0.0998389779459167
40.77922,0.579998461142319,-0.0998103370638145
41.48231,0.58999843461029,-0.099780993457806
42.1854,0.599998408078261,-0.0997509068828293
42.88849,0.609998381546232,-0.0997194915369445
43.59158,0.619998355014203,-0.0996876861750818
44.29467,0.629998328482174,-0.0996555805114403
44.99776,0.639998301950145,-0.0996231747229164
45.70085,0.649998275418116,-0.0995900373306184
46.40394,0.659998248886087,-0.0995554730150807
47.10703,0.669998222354058,-0.0995201304092071
47.81012,0.679998195822029,-0.0994840804334426
48.51321,0.68999816929,-0.0994473233325335
49.2163,0.699998142757971,-0.099409842284099
49.91939,0.709998116225942,-0.0993721460055803
50.62248,0.719998089693913,-0.099333548039285
51.32557,0.729998063161884,-0.0992939111634846
52.02866,0.739998036629855,-0.0992532360072362
52.73175,0.749998010097826,-0.0992116419746444
53.43484,0.759997983565797,-0.0991700699747016
54.13793,0.769997957033768,-0.0991274357501989
54.84102,0.779997930501739,-0.0990835861134894
55.54411,0.78999790396971,-0.0990385219804458
56.2472,0.799997877437681,-0.09899271988975
56.95029,0.809997850905652,-0.0989474957743845
57.65338,0.819997824373623,-0.0989018086629643
58.35647,0.829997797841594,-0.0988556064144706
59.05956,0.839997771309565,-0.0988088905809564
59.76265,0.849997744777536,-0.098761710335653
60.46574,0.859997718245507,-0.0987129380765895
61.16883,0.869997691713478,-0.0986645522469938
61.87192,0.87999766518145,-0.0986171443236564
62.57501,0.889997638649421,-0.098570714947009
63.2781,0.899997612117391,-0.0985250159506994
63.98119,0.909997585585362,-0.0984772796699091
64.68428,0.919997559053334,-0.0984293812174687
65.38737,0.929997532521304,-0.0983812528959987
66.09046,0.939997505989275,-0.0983328934056139
66.79355,0.949997479457247,-0.0982843330379348
67.49664,0.959997452925217,-0.0982376416241431
68.19973,0.969997426393189,-0.0981897875895458
68.90282,0.97999739986116,-0.0981405031375543
69.60591,0.98999737332913,-0.0980897869648276
70.309,0.999997346797102,-0.0980376377698136
71.01209,1.00999732026507,-0.0979860455520256
71.71518,1.01999729373304,-0.0979326994885178
72.41827,1.02999726720101,-0.0978775979082175
73.12136,1.03999724066899,-0.0978207391428579
73.82445,1.04999721413696,-0.0977620940391672
74.52754,1.05999718760493,-0.0977031115495773
75.23063,1.0699971610729,-0.097641849213834
75.93372,1.07999713454087,-0.0975782232659446
76.63681,1.08999710800884,-0.0975122325970895
77.3399,1.09999708147681,-0.0974436671916417
78.04299,1.10999705494478,-0.0973720392049721
78.74608,1.11999702841275,-0.0972981028191913
79.44917,1.12999700188072,-0.0972217986314862
80.15226,1.1399969753487,-0.0971431270078485
80.85535,1.14999694881667,-0.0970620858441438
81.55844,1.15999692228464,-0.0969778672426596
82.26153,1.16999689575261,-0.0968910675192561
82.96462,1.17999686922058,-0.0968017410974681
83.66771,1.18999684268855,-0.096709889548637
84.3708,1.19999681615652,-0.096615892863587
85.07389,1.20999678962449,-0.0965213546574089
85.77698,1.21999676309246,-0.0964246525504106
86.48007,1.22999673656043,-0.0963255673139542
87.18316,1.23999671002841,-0.0962241004901756
87.88625,1.24999668349638,-0.0961202906890131
88.58934,1.25999665696435,-0.0960150733326385
89.29243,1.26999663043232,-0.095907614493017
89.99552,1.27999660390029,-0.0957976009760158
90.69861,1.28999657736826,-0.0956850337401282
91.4017,1.29999655083623,-0.0955701513119902
92.10479,1.3099965243042,-0.0954542039678121
92.80788,1.31999649777217,-0.09533621762953
93.51097,1.32999647124015,-0.095216024328768
94.21406,1.33999644470812,-0.0950936258197735
94.91715,1.34999641817609,-0.0949686163887549
95.62024,1.35999639164406,-0.0948389037808385
96.32333,1.36999636511203,-0.0947066311354622
97.02642,1.37999633858,-0.0945729216856399
97.72951,1.38999631204797,-0.0944377774894083
98.4326,1.39999628551594,-0.0943009033905982
99.13569,1.40999625898391,-0.094158996107697
99.83878,1.41999623245188,-0.0940139928592478
100.54187,1.42999620591986,-0.093865983067021
101.24496,1.43999617938783,-0.0937149683722545
101.94805,1.4499961528558,-0.0935616694507741
102.65114,1.45999612632377,-0.0934085143192472
103.35423,1.46999609979174,-0.0932529408012565
104.05732,1.47999607325971,-0.0930946468003601
104.76041,1.48999604672768,-0.09293363566293
105.4635,1.49999602019565,-0.0927704307794852
106.16659,1.50999599366362,-0.0926083846538809
106.86968,1.51999596713159,-0.0924453745937634
107.57277,1.52999594059957,-0.09228083696368
108.27586,1.53999591406754,-0.0921147721022305
108.97895,1.54999588753551,-0.0919489876880571
109.68204,1.55999586100348,-0.0917878062729642
110.38513,1.56999583447145,-0.0916268677087287
111.08822,1.57999580793942,-0.0914657576726421
111.79131,1.58999578140739,-0.0913044739545648
112.4944,1.59999575487536,-0.0911424265109938
113.19749,1.60999572834333,-0.0909797344351826
113.90058,1.6199957018113,-0.0908173886718267
114.60367,1.62999567527928,-0.0906558218464258
115.30676,1.63999564874725,-0.0904950279832901
116.00985,1.64999562221522,-0.0903340830161419
116.71294,1.65999559568319,-0.0901687406938573
117.41603,1.66999556915116,-0.0900026054821716
118.11912,1.67999554261913,-0.0898355803695063
118.82221,1.6899955160871,-0.0896676584996101
119.5253,1.69999548955507,-0.0894983984523411
120.22839,1.70999546302304,-0.0893249853857963
120.93148,1.71999543649101,-0.089149096495542
121.63457,1.72999540995899,-0.0889703268004623
122.33766,1.73999538342696,-0.088788670703891
123.04075,1.74999535689493,-0.0886029273540565
123.74384,1.7599953303629,-0.0884142487014293
124.44693,1.76999530383087,-0.0882203401959599
125.15002,1.77999527729884,-0.0880226243377873
125.85311,1.78999525076681,-0.0878211003741246
126.5562,1.79999522423478,-0.0876160122803631
127.25929,1.80999519770275,-0.0874063858691293
127.96238,1.81999517117072,-0.0871920291290777
128.66547,1.8299951446387,-0.0869748133363655
129.36856,1.83999511810667,-0.0867547414857927
130.07165,1.84999509157464,-0.0865320297581398
130.77474,1.85999506504261,-0.086308450640955
131.47783,1.86999503851058,-0.0860829280908272
132.18092,1.87999501197855,-0.0858556674302863
132.88401,1.88999498544652,-0.0856266714049657
133.5871,1.89999495891449,-0.0853964195980587
134.29019,1.90999493238246,-0.0851664026117688
134.99328,1.91999490585043,-0.0849355879884061
135.69637,1.92999487931841,-0.0847039574048385
136.39946,1.93999485278638,-0.0844715126560718
137.10255,1.94999482625435,-0.0842382853180398
137.80564,1.95999479972232,-0.0840046067505296
138.50873,1.96999477319029,-0.0837703956440387
139.21182,1.97999474665826,-0.0835356606309895
139.91491,1.98999472012623,-0.0833004027841068
140.618,1.9999946935942,-0.0830646231767635
141.32109,2.00999466706217,-0.0828282794915533
142.02418,2.01999464053014,-0.0825913760329961
142.72727,2.02999461399812,-0.0823539139938661
143.43036,2.03999458746609,-0.0821158945678793
144.13345,2.04999456093406,-0.081877325975615
144.83654,2.05999453440203,-0.0816381685580616
145.53963,2.06999450787,-0.0813985639762485
146.24272,2.07999448133797,-0.0811585324560976
146.94581,2.08999445480594,-0.0809180760281081
147.6489,2.09999442827391,-0.0806772599315866
148.35199,2.10999440174188,-0.0804362440925281
149.05508,2.11999437520986,-0.0801952524739428
149.75817,2.12999434867783,-0.0799546060128062
150.46126,2.1399943221458,-0.0797143080490783
151.16435,2.14999429561377,-0.0794747753880697
151.86744,2.15999426908174,-0.0792360180866961
152.57053,2.16999424254971,-0.0789993295361232
153.27362,2.17999421601768,-0.0787649126529798
153.97671,2.18999418948565,-0.0785327717485725
154.6798,2.19999416295362,-0.078304898878568
155.38289,2.20999413642159,-0.0780786930882698
156.08598,2.21999410988957,-0.0778572266901835
156.78907,2.22999408335754,-0.0776392950639619
157.49216,2.23999405682551,-0.0774248961342305
158.19525,2.24999403029348,-0.0772137632689811
158.89834,2.25999400376145,-0.0770054098192293
159.60143,2.26999397722942,-0.0768006377721168
160.30452,2.27999395069739,-0.0765980104034386
161.00761,2.28999392416536,-0.0763975220059746
161.7107,2.29999389763333,-0.0761988306457838
162.41379,2.3099938711013,-0.0760007333401669
163.11688,2.31999384456928,-0.0758036372104073
163.81997,2.32999381803725,-0.0756065414539708
164.52306,2.33999379150522,-0.0754094394843493
165.22615,2.34999376497319,-0.0752118616753352
165.92924,2.35999373844116,-0.0750124926594111
166.63233,2.36999371190913,-0.0748117409923232
167.33542,2.3799936853771,-0.0746088221188077
168.03851,2.38999365884507,-0.0744037301442187
168.7416,2.39999363231304,-0.0741957691009634
169.44469,2.40999360578102,-0.0739833457594882
170.14778,2.41999357924899,-0.0737675172469952
170.85087,2.42999355271696,-0.0735475684052619
171.55396,2.43999352618493,-0.0733234963799574
172.25705,2.4499934996529,-0.0730953606431706
172.96014,2.45999347312087,-0.0728614676080893
173.66323,2.46999344658884,-0.0726230517808966
174.36632,2.47999342005681,-0.0723809248716513
175.06941,2.48999339352478,-0.0721350889645947
175.7725,2.49999336699275,-0.0718863269174154
176.47559,2.50999334046073,-0.0716329937407872
177.17868,2.5199933139287,-0.0713774413193261
177.88177,2.52999328739667,-0.0711199817868417
178.58486,2.53999326086464,-0.0708606192315832
179.28795,2.54999323433261,-0.0706002332200553
179.99104,2.55999320780058,-0.0703388684037234
180.69413,2.56999318126855,-0.0700762399561506
181.39722,2.57999315473652,-0.0698127696254283
182.10031,2.58999312820449,-0.0695484599198531
182.8034,2.59999310167246,-0.0692836087780802
183.50649,2.60999307514043,-0.0690182333995222
184.20958,2.61999304860841,-0.0687522448936396
184.91267,2.62999302207638,-0.0684857123667494
185.61576,2.63999299554435,-0.0682186373032005
186.31885,2.64999296901232,-0.0679511074967911
187.02194,2.65999294248029,-0.0676830344031348
187.72503,2.66999291594826,-0.0674145072350758
188.42812,2.67999288941623,-0.0671455128465569
189.13121,2.6899928628842,-0.0668760524548461
189.8343,2.69999283635217,-0.0666060735611798
190.53739,2.70999280982015,-0.0663356107736865
191.24048,2.71999278328812,-0.0660648117223552
191.94357,2.72999275675609,-0.0657936753316701
192.64666,2.73999273022406,-0.0655222032745705
193.34975,2.74999270369203,-0.06525037823216
194.05284,2.75999267716,-0.0649780503431763
194.75593,2.76999265062797,-0.0647059645889095
195.45902,2.77999262409594,-0.0644341534431575
196.16211,2.78999259756391,-0.0641626200582577
196.8652,2.79999257103188,-0.0638919873056746
197.56829,2.80999254449986,-0.0636215351647949
198.27138,2.81999251796783,-0.0633523020517856
198.97447,2.8299924914358,-0.0630850346984324
199.67756,2.83999246490377,-0.0628197378935358
200.38065,2.84999243837174,-0.062556851116449
201.08374,2.85999241183971,-0.0622984519547479
201.78683,2.86999238530768,-0.0620433947014033
202.48992,2.87999235877565,-0.0617924441891
203.19301,2.88999233224362,-0.0615456009932371
203.8961,2.89999230571159,-0.0613025669173899
204.59919,2.90999227917957,-0.0610639657516106
205.30228,2.91999225264754,-0.0608293219700874
206.00537,2.92999222611551,-0.0605980212333417
206.70846,2.93999219958348,-0.0603700578668774
207.41155,2.94999217305145,-0.0601452909107082
208.11464,2.95999214651942,-0.0599223331767944
208.81773,2.96999211998739,-0.0597006330503197
209.52082,2.97999209345536,-0.0594797964564601
210.22391,2.98999206692333,-0.0592598159923005
210.927,2.99999204039131,-0.0590406842526114
211.63009,3.00999201385928,-0.0588210661736007
212.33318,3.01999198732725,-0.0585997828116755
213.03627,3.02999196079522,-0.0583768267052884
213.73936,3.03999193426319,-0.0581521903960468
214.44245,3.04999190773116,-0.057925459962974
215.14554,3.05999188119913,-0.0576958305858565
215.84863,3.0699918546671,-0.0574620981075271
216.55172,3.07999182813507,-0.0572241252666073
217.25481,3.08999180160304,-0.0569819062004025
217.9579,3.09999177507101,-0.056734794568559
218.66099,3.10999174853899,-0.0564822261667331
219.36408,3.11999172200696,-0.0562248655242375
220.06717,3.12999169547493,-0.0559624037335165
220.77026,3.1399916689429,-0.0556948412589948
221.47335,3.14999164241087,-0.0554229454929291
222.17644,3.15999161587884,-0.0551454658010836
222.87953,3.16999158934681,-0.0548646073502025
223.58262,3.17999156281478,-0.0545808242370104
224.28571,3.18999153628275,-0.0542941211630332
224.9888,3.19999150975072,-0.054005269593511
225.69189,3.2099914832187,-0.0537153137638545
