"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.137872889181863,0,0.129686045489351,0,0.00818684369260609
59.9999999999999,59.9999999999999,27101.8685089951,59.9999999999999,27101.5890115525,59.9999999999999,27098.8238240442
120,120,2.33197580195199,120,2.61990903156727,120,2.39915446155764
180,180,2.69656016002696,180,4.48665640416747,180,2.49927650174488
240,240,12.6835163935035,240,11.5117097716342,240,4.98855013285547
299.999999999999,299.999999999999,3.69747809480893,299.999999999999,3.35655273703981,299.999999999999,4.19616101517923
359.999999999999,359.999999999999,14.9317690951856,359.999999999999,14.9315961077336,359.999999999999,15.0142124441407
419.999999999999,419.999999999999,60.7035168162693,419.999999999999,61.1217038091337,419.999999999999,62.6975778095967
479.999999999999,479.999999999999,3.96925702899921,479.999999999999,4.32251322120401,479.999999999999,3.64486904961295
539.999999999999,539.999999999999,6.34851434861388,539.999999999999,8.56815331108392,539.999999999999,11.365376869195
599.999999999999,599.999999999999,1.62436743336291,599.999999999999,1.46041879945833,599.999999999999,1.5210782459888
659.999999999999,659.999999999999,46.2860398201884,659.999999999999,31.220232812987,659.999999999999,54.8827644003031
719.999999999999,719.999999999999,0.614848017583566,719.999999999999,0.283258328154393,719.999999999999,0.386710254718331
779.999999999998,779.999999999998,4.19448224371365,779.999999999998,4.10177345997205,779.999999999998,4.11944181586126
839.999999999998,839.999999999998,2.84980949798797,839.999999999998,2.60157665698587,839.999999999998,2.39153601709259
899.999999999998,899.999999999998,0.184547939293122,899.999999999998,0.314342919144319,899.999999999998,0.326332008047514
959.999999999998,959.999999999998,2.3671084400419,959.999999999998,3.20035068150316,959.999999999998,2.07955084056482
1020,1020,1.9931358094238,1020,3.16899460839333,1020,2.38913602193802
1080,1080,0.913827293024483,1080,0.577771928961872,1080,0.348475917597331
1140,1140,1.96486979200203,1140,4.52497865235198,1140,4.79360757666592
1200,1200,1.17836281775702,1200,0.765036649950136,1200,0.987017934352585
1260,1260,11.1918389142324,1260,5.74041486184311,1260,11.2436768848095
1320,1320,1.46754953836516,1320,1.63346977441828,1320,1.27133889117053
1380,1380,4.81591599851061,1380,4.51314243877864,1380,5.22320819877139
1440,1440,0.182124639873718,1440,0.235411570317962,1440,0.417519132736471
1500,1500,2.74479939010941,1500,2.52782123225506,1500,1.94383136686633
1560,1560,28.4409060439712,1560,26.3049151198611,1560,26.9613400867533
