"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
4260.00578881836,4260.00578881836,1.56659571023035E-07
4320.00587035101,4320.00587035101,1.48232068074212E-07
4380.00595188366,4380.00595188366,3.56547910789341E-07
4440.00603341632,4440.00603341632,1.12418233175176E-07
4500.00611494897,4500.00611494897,1.60589145170142E-07
4560.00619648162,4560.00619648162,7.47306123704027E-08
4620.00627801428,4620.00627801428,1.95582464295528E-07
4680.00635954693,4680.00635954693,1.84279251660166E-07
4740.00644107958,4740.00644107958,3.22244062547021E-07
4800.00652261223,4800.00652261223,4.73096231855788E-07
4860.00660414489,4860.00660414489,1.37559347828964E-07
4920.00668567754,4920.00668567754,3.08491524080983E-07
4980.00676721019,4980.00676721019,1.06865607168445E-07
5040.00684874285,5040.00684874285,1.26914971668304E-07
5100.0069302755,5100.0069302755,1.3879781706927E-07
5160.00701180815,5160.00701180815,1.74909420344305E-07
5220.0070933408,5220.0070933408,1.67683716656645E-07
5280.00717487346,5280.00717487346,1.5702667921769E-07
5340.00725640611,5340.00725640611,3.90283794196859E-07
5400.00733793876,5400.00733793876,5.09573989943628E-08
5460.00741947142,5460.00741947142,1.02172411198716E-07
5520.00750100407,5520.00750100407,1.93421160486438E-07
5580.00758253672,5580.00758253672,1.92418051028992E-07
5640.00766406937,5640.00766406937,1.78379403776169E-07
5700.00774560203,5700.00774560203,1.71626196611114E-07
5760.00782713468,5760.00782713468,2.40199724650202E-07
5820.00790866733,5820.00790866733,1.85025517405181E-07
5880.00799019999,5880.00799019999,1.79071418940201E-07
5940.00807173264,5940.00807173264,1.54878712368566E-07
6000.00815326529,6000.00815326529,1.06545595367664E-07
6060.00823479795,6060.00823479795,2.68507164195965E-07
6120.0083163306,6120.0083163306,2.85461410265135E-07
6180.00839786325,6180.00839786325,2.13864932245669E-07
6240.0084793959,6240.0084793959,1.36579146497831E-07
6300.00856092856,6300.00856092856,3.05461343031056E-07
6360.00864246121,6360.00864246121,4.50965042910822E-07
6420.00872399386,6420.00872399386,8.42497942767073E-07
6480.00880552652,6480.00880552652,1.08789123491073E-07
6540.00888705917,6540.00888705917,8.56828692285016E-07
6600.00896859182,6600.00896859182,3.62977089177633E-07
6660.00905012447,6660.00905012447,6.49173842834014E-08
6720.00913165713,6720.00913165713,3.07822193190518E-07
6780.00921318978,6780.00921318978,1.9574752942258E-07
6840.00929472243,6840.00929472243,2.15377792818264E-07
6900.00937625509,6900.00937625509,2.154112378659E-07
6960.00945778774,6960.00945778774,3.9217330010377E-07
7020.00953932039,7020.00953932039,8.46501709885549E-08
7080.00962085304,7080.00962085304,4.43073550819005E-08
7140.0097023857,7140.0097023857,4.78003287073063E-07
7200.00978391835,7200.00978391835,1.13582376601833E-07
7260.009865451,7260.009865451,1.50586337837536E-07
7320.00994698366,7320.00994698366,1.25787490676161E-07
7380.01002851631,7380.01002851631,2.20937325662697E-07
7440.01011004896,7440.01011004896,1.62981446196355E-07
7500.01019158161,7500.01019158161,2.98805503756664E-07
7560.01027311427,7560.01027311427,2.24351054983964E-07
7620.01035464692,7620.01035464692,9.47939426828704E-08
7680.01043617957,7680.01043617957,5.5935060877049E-08
7740.01051771223,7740.01051771223,3.70478899298002E-07
7800.01059924488,7800.01059924488,4.54722734908757E-08
7860.01068077753,7860.01068077753,1.97999028217396E-07
7920.01076231019,7920.01076231019,8.99450983293406E-08
7980.01084384284,7980.01084384284,3.2251973397644E-07
8040.01092537549,8040.01092537549,7.29594216294614E-07
8100.01100690814,8100.01100690814,1.00668870786806E-07
8160.0110884408,8160.0110884408,7.75290456127499E-07
8220.01116997345,8220.01116997345,2.89869452666532E-07
8280.0112515061,8280.0112515061,9.80049188359881E-08
8340.01133303876,8340.01133303876,3.29546226780258E-07
8400.01141457141,8400.01141457141,2.19313590245797E-07
8460.01149610406,8460.01149610406,9.0978640133881E-08
8520.01157763671,8520.01157763671,3.75500031074554E-08
8580.01165916937,8580.01165916937,1.06689071511248E-07
8640.01174070202,8640.01174070202,3.4955433580643E-07
8700.01182223467,8700.01182223467,1.63445691582957E-07
8760.01190376733,8760.01190376733,8.4773551213979E-07
8820.01198529998,8820.01198529998,6.89749357512843E-08
8880.01206683263,8880.01206683263,1.56085395282176E-07
8940.01214836529,8940.01214836529,3.91735963893783E-08
9000.01222989794,9000.01222989794,4.49892608018796E-07
9060.01231143059,9060.01231143059,2.79452464307275E-07
9120.01239296324,9120.01239296324,6.44549683633403E-07
9180.0124744959,9180.0124744959,1.48546205720245E-07
9240.01255602855,9240.01255602855,5.5000760711472E-07
9300.0126375612,9300.0126375612,5.29359892379672E-08
9360.01271909386,9360.01271909386,6.1157039119467E-07
9420.01280062651,9420.01280062651,1.37680351684079E-07
9480.01288215916,9480.01288215916,4.23034825616539E-07
9540.01296369181,9540.01296369181,9.92654952022826E-08
9600.01304522447,9600.01304522447,1.55930054981705E-07
9660.01312675712,9660.01312675712,2.3608183305835E-07
9720.01320828977,9720.01320828977,4.58792281496454E-08
9780.01328982243,9780.01328982243,2.36084693795927E-07
9840.01337135508,9840.01337135508,7.43402251624243E-08
9900.01345288773,9900.01345288773,3.01882882357367E-08
9960.01353442038,9960.01353442038,1.8376245940087E-07
10020.013615953,10020.013615953,2.05797682773349E-07
10080.0136974857,10080.0136974857,6.25165646949897E-08
10140.0137790183,10140.0137790183,2.01689039144697E-07
10200.013860551,10200.013860551,3.32916994552362E-07
10260.0139420836,10260.0139420836,3.07129491420621E-07
10320.0140236163,10320.0140236163,8.16088195256809E-07
10380.014105149,10380.014105149,5.21314538069118E-07
10440.0141866816,10440.0141866816,1.24229642184738E-07
10500.0142682143,10500.0142682143,2.98528490401329E-07
10560.0143497469,10560.0143497469,6.51095500542324E-08
10620.0144312796,10620.0144312796,1.12070435444645E-07
10680.0145128122,10680.0145128122,3.2818308669376E-07
10740.0145943449,10740.0145943449,2.93344664787612E-07
10800.0146758775,10800.0146758775,8.05501062692499E-08
10860.0147574102,10860.0147574102,3.04393540331408E-08
10920.0148389428,10920.0148389428,2.12844935163514E-07
10980.0149204755,10980.0149204755,8.57507299862126E-08
11040.0150020081,11040.0150020081,4.30049891386865E-07
11100.0150835408,11100.0150835408,6.13927524694336E-07
11160.0151650734,11160.0151650734,3.38879537187398E-07
11220.0152466061,11220.0152466061,8.70324852147529E-07
