12.4.2021 15:23	HHP Baksan	2585	3161	16.93	14.37	0.136466	2503	1814	4317	2142	287	33	0.9974	0.1895	0.9194
12.4.2021 16:3	HHP Baksan	2599	3197	18.18	14.19	0.148554	3447	2640	6086	2615	528	60	1.0383	0.1784	0.9342
12.4.2021 16:39	HHP Baksan	2607	3215	17.58	14.22	0.147913	3007	2421	5427	2452	460	54	0.9363	0.1743	0.9284
12.4.2021 17:16	HHP Baksan	2607	3215	17.58	14.22	0.147913	3007	2421	5427	2452	460	54	0.9363	0.1743	0.9284
12.4.2021 17:53	HHP Baksan	2517	3127	19.13	13.81	0.143653	1482	1209	2691	1769	305	34	1.5509	0.1834	0.8802
12.4.2021 18:29	HHP Baksan	2528	3168	16.61	13.97	0.153013	1872	1566	3438	1969	254	24	1.1888	0.1937	0.9126
12.4.2021 19:6	HHP Baksan	2564	3132	16.75	14.45	0.134814	2842	2060	4902	2255	297	40	0.8502	0.1895	0.9234
12.4.2021 19:43	HHP Baksan	2607	3215	17.58	14.22	0.147913	3006	2452	5458	2452	461	54	0.9129	0.1741	0.9292
12.4.2021 20:19	HHP Baksan	2599	3197	18.18	14.19	0.148554	3445	2643	6088	2615	525	59	1.0855	0.1786	0.9325
12.4.2021 20:56	HHP Baksan	2670	3238	18.03	14.37	0.14191	4586	3389	7975	2908	638	46	1.6583	0.178	0.9327
12.4.2021 21:33	HHP Baksan	2634	3202	19.18	14.26	0.13782	3210	2332	5542	2478	573	48	1.8712	0.1793	0.9011
12.4.2021 22:9	HHP Baksan	2638	3206	19.18	14.26	0.13804	3279	2377	5656	2503	585	48	1.8907	0.1795	0.9022
12.4.2021 23:24	HHP Baksan	2547	3153	17.25	14.39	0.146242	2201	1691	3892	2078	272	35	0.8734	0.1951	0.9149
13.4.2021 0:1	HHP Baksan	2495	3103	18.93	14.39	0.141925	787	605	1392	1284	133	15	1.3279	0.1977	0.841
13.4.2021 0:40	HHP Baksan	2570	3136	17	14.43	0.136392	2270	1648	3918	2023	244	20	1.3172	0.2012	0.9077
13.4.2021 1:18	HHP Baksan	2661	3267	18.72	14.09	0.157353	3782	2790	6572	2749	633	53	1.5702	0.1854	0.9513
13.4.2021 1:53	HHP Baksan	2646	3200	18.95	14.29	0.135544	4478	3285	7763	2881	750	69	1.7435	0.166	0.9157
13.4.2021 2:29	HHP Baksan	2555	3179	17.59	13.87	0.149769	2542	2106	4649	2284	412	46	0.9302	0.1837	0.9316
13.4.2021 3:5	HHP Baksan	2574	3182	17.63	13.83	0.145591	2424	1884	4308	2200	387	40	1.2747	0.188	0.9279
13.4.2021 3:43	HHP Baksan	2585	3161	16.93	14.36	0.136466	2460	1808	4268	2126	285	33	0.9567	0.1876	0.9184
13.4.2021 4:19	HHP Baksan	2670	3238	18.03	14.37	0.14191	4586	3389	7975	2908	638	46	1.6583	0.178	0.9327
13.4.2021 4:56	HHP Baksan	2670	3238	18.03	14.37	0.141722	4587	3400	7987	2911	640	46	1.6341	0.1771	0.9318
13.4.2021 5:31	HHP Baksan	2542	3152	19.13	13.81	0.145127	1986	1601	3587	2038	411	45	1.6651	0.1784	0.8917
13.4.2021 6:7	HHP Baksan	2592	3202	18.79	14.37	0.147236	2899	2225	5125	2429	491	33	1.7356	0.1878	0.8872
13.4.2021 6:41	HHP Baksan	2528	3158	16.61	13.97	0.150356	1911	1585	3495	1972	250	20	1.1397	0.197	0.9138
