"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
0,0,1.56255082196218E-05
60.0000683021248,60.0000683021248,0.229528574901378
120.00013660425,120.00013660425,2.36046734901169E-05
180.000204906374,180.000204906374,0.00779900472699666
240.000273208499,240.000273208499,2.69453918768596E-05
300.000341510624,300.000341510624,0.000843658186723044
360.000409812749,360.000409812749,1.73869781909911E-05
420.000478114874,420.000478114874,0.000337548400379095
480.000546416998,480.000546416998,4.74346622284447E-07
540.000614719123,540.000614719123,7.57293820316822E-05
600.000683021248,600.000683021248,3.51987021813248E-06
660.000751323373,660.000751323373,0.000235901366596744
720.000819625498,720.000819625498,5.27336090297143E-06
780.000887927623,780.000887927623,0.000163629722378326
840.000956229747,840.000956229747,2.01927500435683E-06
900.001024531872,900.001024531872,9.48416395940672E-05
960.001092833997,960.001092833997,2.10263199015645E-06
1020.00116113612,1020.00116113612,3.89331312455073E-05
1080.00122943825,1080.00122943825,4.60088646613808E-06
1140.00129774037,1140.00129774037,6.62465486319466E-06
1200.0013660425,1200.0013660425,7.73612245308234E-07
1260.00143434462,1260.00143434462,2.91361491660973E-05
1320.00150264675,1320.00150264675,9.29312591467102E-06
1380.00157094887,1380.00157094887,3.33252176437182E-05
1440.001639251,1440.001639251,4.51222217199874E-05
1500.00170755312,1500.00170755312,1.54694291806581E-05
1560.00177585525,1560.00177585525,0.000279140322328586
1620.00184415737,1620.00184415737,2.28958089091284E-05
1680.00191245949,1680.00191245949,0.000248530436977195
1740.00198076162,1740.00198076162,7.60999671073932E-07
1800.00204906374,1800.00204906374,1.8091300848874E-05
1860.00211736587,1860.00211736587,3.47545705661838E-06
1920.00218566799,1920.00218566799,2.76706650416351E-06
1980.00225397012,1980.00225397012,1.67142471778566E-06
2040.00232227224,2040.00232227224,2.02794246860472E-06
2100.00239057437,2100.00239057437,4.27093385555806E-06
2160.00245887649,2160.00245887649,1.65744365885729E-07
2220.00252717862,2220.00252717862,1.02527091656348E-06
2280.00259548074,2280.00259548074,1.59728569373655E-06
2340.00266378287,2340.00266378287,3.66128850900458E-07
2400.00273208499,2400.00273208499,1.86844675895088E-07
2460.00280038712,2460.00280038712,1.4232380672849E-06
2520.00286868924,2520.00286868924,2.45355547091698E-07
2580.00293699137,2580.00293699137,1.94004734276134E-06
2640.00300529349,2640.00300529349,3.71833647874867E-07
2700.00307359562,2700.00307359562,2.66579149451449E-07
2760.00314189774,2760.00314189774,1.81235302858578E-07
2820.00321019987,2820.00321019987,5.20611937760286E-07
2880.00327850199,2880.00327850199,1.53362906363181E-07
2940.00334680412,2940.00334680412,4.18926718434016E-07
3000.00341510624,3000.00341510624,2.37165035380611E-07
3060.00348340837,3060.00348340837,2.3438696867659E-06
3120.00355171049,3120.00355171049,8.90525083953905E-08
3180.00362001262,3180.00362001262,1.0125208018373E-05
3240.00368831474,3240.00368831474,1.0359863507498E-07
3300.00375661686,3300.00375661686,7.2036558699612E-06
3360.00382491899,3360.00382491899,5.32381719793659E-07
3420.00389322111,3420.00389322111,2.34970251960485E-06
3480.00396152324,3480.00396152324,3.2829097881579E-07
3540.00402982536,3540.00402982536,1.3796131555821E-07
3600.00409812749,3600.00409812749,9.01246333396136E-08
3660.00416642961,3660.00416642961,3.24704573796331E-07
3720.00423473174,3720.00423473174,2.14147747177435E-07
3780.00430303386,3780.00430303386,1.37893116664356E-07
3840.00437133599,3840.00437133599,1.36529979118022E-07
3900.00443963811,3900.00443963811,2.80716419469401E-07
3960.00450794024,3960.00450794024,1.97704455719303E-07
4020.00457624236,4020.00457624236,1.98403704339589E-07
4080.00464454449,4080.00464454449,5.96004141553152E-08
4140.00471284661,4140.00471284661,2.68928250123203E-07
4200.00478114874,4200.00478114874,2.46377460323844E-07
4260.00484945086,4260.00484945086,1.42960677158559E-07
4320.00491775299,4320.00491775299,2.34108413411232E-07
4380.00498605511,4380.00498605511,2.52272993126176E-07
4440.00505435724,4440.00505435724,2.30911890225038E-07
4500.00512265936,4500.00512265936,1.57738398057588E-07
4560.00519096149,4560.00519096149,2.46141543062116E-07
4620.00525926361,4620.00525926361,2.67034461606641E-07
4680.00532756574,4680.00532756574,3.72363975951429E-07
4740.00539586786,4740.00539586786,2.96423141774136E-07
4800.00546416998,4800.00546416998,1.08201855189806E-06
4860.00553247211,4860.00553247211,1.52325286414509E-07
4920.00560077423,4920.00560077423,1.4462647696227E-06
4980.00566907636,4980.00566907636,2.26926913653282E-07
5040.00573737848,5040.00573737848,1.2319282993552E-07
5100.00580568061,5100.00580568061,2.61652071564696E-07
5160.00587398273,5160.00587398273,1.73060547439863E-07
5220.00594228486,5220.00594228486,1.74786871378863E-07
5280.00601058698,5280.00601058698,9.60553118055162E-08
5340.00607888911,5340.00607888911,2.19970758595667E-07
5400.00614719123,5400.00614719123,2.43706529493635E-07
5460.00621549336,5460.00621549336,2.63137060063895E-07
5520.00628379548,5520.00628379548,7.31288232001329E-07
5580.00635209761,5580.00635209761,3.25618967894686E-07
5640.00642039973,5640.00642039973,2.78919023965208E-07
5700.00648870186,5700.00648870186,4.32887096941503E-08
5760.00655700398,5760.00655700398,2.21470239219034E-07
5820.00662530611,5820.00662530611,6.99883489245139E-07
5880.00669360823,5880.00669360823,5.03817985782029E-08
5940.00676191036,5940.00676191036,1.23781773084909E-07
6000.00683021248,6000.00683021248,2.02016665110643E-07
6060.00689851461,6060.00689851461,1.80606943030836E-07
6120.00696681673,6120.00696681673,2.54092014734975E-07
6180.00703511886,6180.00703511886,2.02394342050612E-07
6240.00710342098,6240.00710342098,1.85806041119571E-07
6300.0071717231,6300.0071717231,3.61345729662594E-07
6360.00724002523,6360.00724002523,1.87860845530371E-07
6420.00730832735,6420.00730832735,1.78440115376033E-07
6480.00737662948,6480.00737662948,2.0009993511348E-07
6540.0074449316,6540.0074449316,1.37157357166787E-07
6600.00751323373,6600.00751323373,2.29376841186002E-07
6660.00758153585,6660.00758153585,2.12964230337521E-07
6720.00764983798,6720.00764983798,2.55435201873551E-07
6780.0077181401,6780.0077181401,1.56219969230713E-07
6840.00778644223,6840.00778644223,1.88377682774501E-07
6900.00785474435,6900.00785474435,5.74845412961815E-07
6960.00792304648,6960.00792304648,2.15712132768232E-07
7020.0079913486,7020.0079913486,1.64339353730188E-07
7080.00805965073,7080.00805965073,1.4391535593079E-07
7140.00812795285,7140.00812795285,9.74889883785172E-08
7200.00819625498,7200.00819625498,1.99297445021308E-07
7260.0082645571,7260.0082645571,1.246159456079E-07
7320.00833285923,7320.00833285923,5.23641748406516E-08
7380.00840116135,7380.00840116135,1.84373522523328E-07
7440.00846946348,7440.00846946348,2.18041615332844E-07
7500.0085377656,7500.0085377656,1.20291417444701E-07
7560.00860606773,7560.00860606773,1.49099324391181E-07
7620.00867436985,7620.00867436985,1.94003955954829E-07
7680.00874267198,7680.00874267198,1.29293824890292E-07
7740.0088109741,7740.0088109741,1.92853675349163E-07
7800.00887927623,7800.00887927623,1.72937949247117E-07
7860.00894757835,7860.00894757835,2.95006656089997E-07
7920.00901588048,7920.00901588048,1.04969457484738E-07
7980.0090841826,7980.0090841826,2.26915080397631E-07
8040.00915248472,8040.00915248472,4.84820172476874E-07
8100.00922078685,8100.00922078685,1.42208191049296E-07
8160.00928908897,8160.00928908897,7.44938540227922E-07
8220.0093573911,8220.0093573911,1.46536627045888E-07
8280.00942569322,8280.00942569322,1.2219066093943E-07
8340.00949399535,8340.00949399535,1.67415238425599E-07
8400.00956229747,8400.00956229747,1.45389314044498E-07
8460.0096305996,8460.0096305996,9.29662816345518E-08
8520.00969890172,8520.00969890172,2.46322353622734E-07
8580.00976720385,8580.00976720385,2.03656350307139E-08
8640.00983550597,8640.00983550597,8.01847889418114E-08
8700.0099038081,8700.0099038081,7.34895336530591E-08
8760.00997211022,8760.00997211022,1.53172613071116E-07
8820.01004041235,8820.01004041235,8.41559728881703E-08
8880.01010871447,8880.01010871447,1.0415607975224E-07
8940.0101770166,8940.0101770166,2.87435685906924E-07
9000.01024531872,9000.01024531872,2.00892982138528E-08
9060.01031362085,9060.01031362085,1.15108180548298E-07
9120.01038192297,9120.01038192297,1.77679902339537E-07
9180.0104502251,9180.0104502251,3.11201696278691E-07
9240.01051852722,9240.01051852722,7.75247286625832E-08
9300.01058682934,9300.01058682934,3.95519569146031E-07
9360.01065513147,9360.01065513147,3.65576259347413E-07
9420.0107234336,9420.0107234336,1.46403684214669E-07
9480.01079173572,9480.01079173572,3.0973911292681E-07
9540.01086003784,9540.01086003784,3.3015003010046E-07
9600.01092833997,9600.01092833997,4.02523352319086E-07
9660.0109966421,9660.0109966421,8.39319171831057E-07
9720.01106494422,9720.01106494422,4.57811864421995E-07
9780.01113324634,9780.01113324634,7.47470060097924E-07
9840.01120154847,9840.01120154847,2.70055424404295E-07
9900.01126985059,9900.01126985059,3.78303953691645E-07
9960.01133815272,9960.01133815272,2.95377325254533E-07
10020.0114064548,10020.0114064548,3.60643836216228E-07
10080.011474757,10080.011474757,2.87377927817597E-07
10140.0115430591,10140.0115430591,9.9294896264355E-08
10200.0116113612,10200.0116113612,2.62891733857677E-07
10260.0116796633,10260.0116796633,2.84559017397155E-07
10320.0117479655,10320.0117479655,4.87489683295746E-08
10380.0118162676,10380.0118162676,4.21616944507735E-07
10440.0118845697,10440.0118845697,3.33452989686081E-07
10500.0119528718,10500.0119528718,4.50079715148401E-08
10560.012021174,10560.012021174,3.14000430851764E-07
10620.0120894761,10620.0120894761,1.7444682126472E-07
10680.0121577782,10680.0121577782,4.56333917623648E-07
10740.0122260803,10740.0122260803,3.56777495802949E-07
10800.0122943825,10800.0122943825,3.1601596608685E-07
10860.0123626846,10860.0123626846,3.00683150508012E-07
10920.0124309867,10920.0124309867,1.90285165573974E-07
10980.0124992888,10980.0124992888,2.44287527612595E-07
11040.012567591,11040.012567591,3.24426098526088E-07
11100.0126358931,11100.0126358931,5.55526903687817E-07
11160.0127041952,11160.0127041952,1.87542061040096E-07
11220.0127724973,11220.0127724973,2.48514215616074E-07
11280.0128407995,11280.0128407995,3.76198411974406E-07
11340.0129091016,11340.0129091016,7.97141256026262E-08
11400.0129774037,11400.0129774037,3.77975145947298E-07
11460.0130457058,11460.0130457058,3.83345384391782E-07
11520.013114008,11520.013114008,1.23486162988221E-07
11580.0131823101,11580.0131823101,2.45007662219086E-07
11640.0132506122,11640.0132506122,2.02209557227765E-07
11700.0133189143,11700.0133189143,2.4602247040851E-07
11760.0133872165,11760.0133872165,4.07653826852188E-07
11820.0134555186,11820.0134555186,7.51250927557941E-07
11880.0135238207,11880.0135238207,2.3094972644985E-07
11940.0135921228,11940.0135921228,1.63188808854189E-07
12000.013660425,12000.013660425,3.7164012918046E-07
12060.0137287271,12060.0137287271,2.27231386503141E-07
12120.0137970292,12120.0137970292,3.7707048863843E-07
12180.0138653313,12180.0138653313,2.23033596867887E-07
12240.0139336335,12240.0139336335,2.0354432149076E-07
12300.0140019356,12300.0140019356,3.93201952735769E-07
12360.0140702377,12360.0140702377,2.50326391224627E-07
12420.0141385398,12420.0141385398,1.77276997473011E-07
12480.014206842,12480.014206842,2.15482322063515E-07
