24.5.2020 18:34	LaEska	10267	10859	23.38	28.33	0.958353	555467	478097	1033564	14707	5771	10853	0.1201	0.1525	0.6648
24.5.2020 19:5	LaEska	9972	11066	16.34	22.01	1.976716	400124	691852	1091976	15664	12856	14778	0.2156	0.2301	0.8832
24.5.2020 19:41	LaEska	10696	11638	20.81	20.71	1.785552	585088	704827	1289915	18374	37575	14699	0.3646	0.1602	0.8992
24.5.2020 20:13	LaEska	10360	11096	19.06	23.61	1.238694	645085	655603	1300688	16666	14765	9576	0.2337	0.1999	0.809
24.5.2020 20:55	LaEska	11200	12256	15.53	23.81	2.13777	701490	969482	1670972	19471	17144	28483	0.3196	0.2316	0.9215
24.5.2020 21:29	LaEska	10822	11374	23.62	20.85	0.933545	756867	604633	1361500	16523	32874	13531	0.4148	0.1524	0.8638
24.5.2020 22:18	LaEska	11476	12690	16.95	27.16	2.588087	499026	742283	1241308	17949	10364	20802	0.2519	0.1986	0.8273
24.5.2020 22:48	LaEska	10033	11053	21.11	25.61	1.847313	291219	437800	729019	13560	6804	7605	0.2401	0.1971	0.7206
24.5.2020 23:17	LaEska	9958	10698	17.98	25.49	1.214475	459601	542695	1002296	14133	6377	9946	0.2444	0.2112	0.7628
24.5.2020 23:49	LaEska	10182	11094	19.17	27.61	1.611604	411264	555245	966510	15369	5840	10315	0.2008	0.1805	0.7075
25.5.2020 0:20	LaEska	9921	10977	20.47	23.98	1.861983	220081	349248	569329	11866	8527	6680	0.2486	0.1945	0.7523
25.5.2020 0:56	LaEska	10650	11246	23.43	29.5	0.98584	588617	473201	1061818	15038	5854	11632	0.2275	0.1422	0.6565
25.5.2020 1:27	LaEska	10060	10978	18.28	24.46	1.594161	448185	628472	1076657	15896	10328	13480	0.1996	0.1888	0.7812
25.5.2020 2:1	LaEska	10271	11033	20.36	25.36	1.312717	468518	520007	988526	15072	10795	16018	0.2133	0.182	0.7539
25.5.2020 2:37	LaEska	10406	10982	19.62	20.75	0.904784	661703	627578	1289282	15322	25712	21589	0.5208	0.1732	0.8842
25.5.2020 3:9	LaEska	10194	11190	23.79	23.47	1.809475	385860	510861	896721	15562	15625	11193	0.2955	0.1435	0.7558
25.5.2020 3:41	LaEska	10293	11219	24.42	22.8	1.677764	427012	521452	948464	15966	21659	12865	0.2414	0.1511	0.7738
