"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.316891607193341,0,0.104323877923267,0,0.212567729270195
59.9999999999999,59.9999999999999,25336.1071073415,59.9999999999999,25335.5631161377,59.9999999999999,25333.3493454367
120,120,1.61896510788956,120,1.82651743028638,120,1.65109129027024
180,180,1.5662948705343,180,2.73824110936878,180,1.18373162783557
240,240,8.27394974007745,240,7.24565100888139,240,4.97801239711549
299.999999999999,299.999999999999,2.16592771634169,299.999999999999,1.8534363192247,299.999999999999,2.40616024912117
359.999999999999,359.999999999999,7.73429041239863,359.999999999999,7.82739944883364,359.999999999999,8.04484506242063
419.999999999999,419.999999999999,37.0326231863542,419.999999999999,36.8645057300508,419.999999999999,39.8330457399329
479.999999999999,479.999999999999,2.98124435573991,479.999999999999,3.28321603900215,479.999999999999,3.20255529709109
539.999999999999,539.999999999999,8.45985300777127,539.999999999999,7.85623580086287,539.999999999999,5.7764024178282
599.999999999999,599.999999999999,1.11124093717585,599.999999999999,0.818448585231374,599.999999999999,0.938780297824996
659.999999999999,659.999999999999,39.1777801436917,659.999999999999,41.5627512196087,659.999999999999,32.244273442876
719.999999999999,719.999999999999,0.307739122554386,719.999999999999,0.0677101289348628,719.999999999999,0.243580869024447
779.999999999998,779.999999999998,8.00333461600838,779.999999999998,7.9412517901846,779.999999999998,7.8772356423515
839.999999999998,839.999999999998,1.5135787369915,839.999999999998,1.17865558148971,839.999999999998,1.57097522033438
899.999999999998,899.999999999998,0.231372978129526,899.999999999998,0.574404374213666,899.999999999998,0.357581669227162
959.999999999998,959.999999999998,1.34197964308337,959.999999999998,1.60580625426861,959.999999999998,1.60385779820949
1020,1020,1.16370629120013,1020,1.09281395775267,1020,1.21392182874572
1080,1080,0.363653242341592,1080,0.453783848995769,1080,0.198835837667641
1140,1140,5.15640244026962,1140,4.93909515433722,1140,5.34158912705297
1200,1200,0.55510421541548,1200,0.241087595931708,1200,0.547010855941807
1260,1260,2.32672121183169,1260,2.39575283030913,1260,2.01125726630084
1320,1320,0.666659868429903,1320,0.658992841687416,1320,0.223076575408552
1380,1380,4.70477796409727,1380,3.96587107522241,1380,0.741316504075135
1440,1440,0.991492785375987,1440,0.53359580828875,1440,0.726079870764334
1500,1500,1.53886300608829,1500,1.27623134360795,1500,0.392341573388315
1560,1560,10.1684396831411,1560,8.64561914477853,1560,9.53953406186925
1620,1620,0.703266232864395,1620,0.592845016839474,1620,1.29469558985431
1680,1680,14.9210959510329,1680,14.7255170089027,1680,15.1716866707629
1740,1740,7.30006390025933,1740,7.64035964968937,1740,6.4969377641662
1800,1800,0.775466206049642,1800,0.72906215476721,1800,0.107886755202313
1860,1860,18.7240912492906,1860,8.87705389367371,1860,21.4357263310982
1920,1920,0.885621477897382,1920,0.842483915407289,1920,0.997340990088823
1980,1980,13.0819419881878,1980,11.6427190526673,1980,14.7200739185921
2040,2040,0.636527336424895,2040,0.860882882318282,2040,1.21704768450628
2100,2100,1.79750041209839,2100,1.58732578380534,2100,2.15821920783005
2160,2160,0.732218289269377,2160,0.734874441710659,2160,0.348947926006435
2220,2220,0.364115591923946,2220,0.428617823713436,2220,0.583827267621724
2280,2280,2.03948741865217,2280,1.05871513737039,2280,1.91497623118874
2340,2340,0.342709541332478,2340,0.102400894738337,2340,0.263429046638025
2399.99999999999,2399.99999999999,0.533962899152139,2399.99999999999,0.221095077207192,2399.99999999999,0.627403267956492
2459.99999999999,2459.99999999999,1.10812246361006,2459.99999999999,0.943029009501171,2459.99999999999,1.23524430694491
2519.99999999999,2519.99999999999,0.236291255716212,2519.99999999999,0.12108754512067,2519.99999999999,0.13333109811133
2579.99999999999,2579.99999999999,0.977296328435646,2579.99999999999,0.778332861514651,2579.99999999999,0.962558355960697
2639.99999999999,2639.99999999999,0.370648043790018,2639.99999999999,0.083754724819247,2639.99999999999,0.444016300392086
2699.99999999999,2699.99999999999,0.312339230867833,2699.99999999999,0.393386118019699,2699.99999999999,0.434002613559574
2759.99999999999,2759.99999999999,0.309185954765811,2759.99999999999,0.23424894967482,2759.99999999999,0.0788142072802386
2819.99999999999,2819.99999999999,0.0967436141836726,2819.99999999999,0.197676842104459,2819.99999999999,0.174670045566305
2879.99999999999,2879.99999999999,0.0723797207147276,2879.99999999999,0.279895273637739,2879.99999999999,0.243773228685413
2939.99999999999,2939.99999999999,0.674577971346239,2939.99999999999,0.504163971274035,2939.99999999999,0.693483205887237
2999.99999999999,2999.99999999999,0.984436052407146,2999.99999999999,1.14758836597519,2999.99999999999,1.53441627464726
3059.99999999999,3059.99999999999,0.107362413030233,3059.99999999999,0.345639954730356,3059.99999999999,0.404355167542371
3119.99999999999,3119.99999999999,0.137849236852705,3119.99999999999,0.279599061224066,3119.99999999999,0.204934551007359
3179.99999999999,3179.99999999999,3.64645867853884,3179.99999999999,3.51849778705896,3179.99999999999,3.67625771814397
3239.99999999999,3239.99999999999,0.248939205352924,3239.99999999999,0.246071588599673,3239.99999999999,0.242591358508075
3299.99999999999,3299.99999999999,3.28996721089431,3299.99999999999,3.93141989667996,3299.99999999999,2.86260422719459
3359.99999999999,3359.99999999999,0.661599001117131,3359.99999999999,0.0420477026120831,3359.99999999999,0.631426827836688
3419.99999999999,3419.99999999999,0.968690065441475,3419.99999999999,0.977351803388859,3419.99999999999,1.08098951296918
3479.99999999999,3479.99999999999,0.828084591794951,3479.99999999999,1.0675275729876,3479.99999999999,0.430004716387155
3539.99999999999,3539.99999999999,0.47676802275438,3539.99999999999,0.358328025439077,3539.99999999999,0.239095815986633
3599.99999999999,3599.99999999999,2.25611374222654,3599.99999999999,1.71265178310223,3599.99999999999,2.66660375468856
3659.99999999999,3659.99999999999,0.115905541684305,3659.99999999999,0.460597138899947,3659.99999999999,0.385666779801246
3719.99999999999,3719.99999999999,0.657538829211382,3719.99999999999,0.606448063976465,3719.99999999999,0.757651098175787
3779.99999999999,3779.99999999999,0.100611331028067,3779.99999999999,0.833163298904384,3779.99999999999,0.896866070823756
3839.99999999999,3839.99999999999,0.363439734652402,3839.99999999999,0.236960114727435,3839.99999999999,0.140605391040806
3899.99999999999,3899.99999999999,1.81602732332798,3899.99999999999,0.472102532098164,3899.99999999999,1.75930722894397
3959.99999999999,3959.99999999999,0.186913054789083,3959.99999999999,0.0996041935725381,3959.99999999999,0.282480422784628
4019.99999999999,4019.99999999999,0.373890050508108,4019.99999999999,0.169082348825083,4019.99999999999,0.277117423100908
4079.99999999999,4079.99999999999,1.12574549841728,4079.99999999999,1.60368543884405,4079.99999999999,1.19902010428652
4139.99999999999,4139.99999999999,0.309287378333538,4139.99999999999,0.158888817348941,4139.99999999999,0.415381922184466
4199.99999999999,4199.99999999999,1.45847564057872,4199.99999999999,1.15758451650193,4199.99999999999,0.651109559823797
4259.99999999999,4259.99999999999,0.149487439663221,4259.99999999999,0.417270187487478,4259.99999999999,0.489967982984575
4319.99999999999,4319.99999999999,0.215556833198281,4319.99999999999,0.314572758253252,4319.99999999999,0.179923644186035
4379.99999999999,4379.99999999999,0.403785962199464,4379.99999999999,0.233730905193279,4379.99999999999,0.599323391082977
4439.99999999999,4439.99999999999,0.0673057948244757,4439.99999999999,0.481130020878269,4439.99999999999,0.509281071985853
4499.99999999999,4499.99999999999,0.33828194916232,4499.99999999999,0.209199702594483,4499.99999999999,0.129082246567528
