"Distance [mm]","Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*50)*1s [ms]","Flux_Lines [] - Time='0.02s'"
0,0,-0.0983947813507283
0.703074,0.00999998197398988,-0.098394952446309
1.406148,0.0199999639479798,-0.0983943972141871
2.109222,0.0299999459219696,-0.0983931155742045
2.812296,0.0399999278959595,-0.0983911074470313
3.51537,0.0499999098699494,-0.0983884086512719
4.218444,0.0599998918439393,-0.0983862803405614
4.921518,0.0699998738179291,-0.0983836408525838
5.624592,0.079999855791919,-0.098380458531719
6.327666,0.0899998377659089,-0.0983767335926544
7.03074,0.0999998197398988,-0.0983724465147051
7.733814,0.109999801713889,-0.0983671141916384
8.436888,0.119999783687879,-0.09836154928514
9.139962,0.129999765661868,-0.098355955663691
9.843036,0.139999747635858,-0.0983503336726343
10.54611,0.149999729609848,-0.0983445469836226
11.249184,0.159999711583838,-0.0983374495192442
11.952258,0.169999693557828,-0.0983300204254991
12.655332,0.179999675531818,-0.0983223265670281
13.358406,0.189999657505808,-0.0983143680927855
14.06148,0.199999639479798,-0.0983062636995612
14.764554,0.209999621453787,-0.0982983728929793
15.467628,0.219999603427777,-0.09829005643755
16.170702,0.229999585401767,-0.0982813022917079
16.873776,0.239999567375757,-0.0982721106462831
17.57685,0.249999549349747,-0.098262725198846
18.279924,0.259999531323737,-0.0982534685826117
18.982998,0.269999513297727,-0.0982439060643064
19.686072,0.279999495271717,-0.0982338154474925
20.389146,0.289999477245706,-0.0982231964840125
21.09222,0.299999459219696,-0.0982122285043165
21.795294,0.309999441193686,-0.0982014151050955
22.498368,0.319999423167676,-0.0981902664215064
23.201442,0.329999405141666,-0.0981787100730447
23.904516,0.339999387115656,-0.0981667458018895
24.60759,0.349999369089646,-0.098154218591011
25.310664,0.359999351063636,-0.0981406748866494
26.013738,0.369999333037625,-0.0981267466515264
26.716812,0.379999315011615,-0.0981125113636197
27.419886,0.389999296985605,-0.0980979685556784
28.12296,0.399999278959595,-0.0980827639910828
28.826034,0.409999260933585,-0.0980664764839231
29.529108,0.419999242907575,-0.0980494869022377
30.232182,0.429999224881565,-0.098031702047477
30.935256,0.439999206855555,-0.0980131216485911
31.63833,0.449999188829544,-0.0979938005302866
32.341404,0.459999170803534,-0.0979739554341017
33.044478,0.469999152777524,-0.0979532560286037
33.747552,0.479999134751514,-0.0979316019371902
34.450626,0.489999116725504,-0.0979089934368467
35.1537,0.499999098699494,-0.0978856595681284
35.856774,0.509999080673484,-0.0978618229911593
36.559848,0.519999062647474,-0.0978371547293332
37.262922,0.529999044621463,-0.0978115607432996
37.965996,0.539999026595453,-0.0977850414206783
38.66907,0.549999008569443,-0.0977578574373767
39.372144,0.559998990543433,-0.0977305579036616
40.075218,0.569998972517423,-0.0977026021029284
40.778292,0.579998954491413,-0.097673936077208
41.481366,0.589998936465403,-0.0976445602711229
42.18444,0.599998918439393,-0.0976144305426643
42.887514,0.609998900413382,-0.0975829404806619
43.590588,0.619998882387372,-0.0975510634005831
44.293662,0.629998864361362,-0.0975188872569806
44.996736,0.639998846335352,-0.0974864122228333
45.69981,0.649998828309342,-0.0974531898996192
46.402884,0.659998810283332,-0.0974185097678196
47.105958,0.669998792257322,-0.0973830433055396
47.809032,0.679998774231312,-0.0973468576488267
48.512106,0.689998756205301,-0.097309953043331
49.21518,0.699998738179291,-0.0972723150377261
