"Freq [kHz]","mag(SolidLoss) [W]"
0,14.1879033068815
0.05,0.331908172595274
0.1,0.190790047281557
0.15,0.142222781871501
0.2,0.122549319888155
0.25,0.115710358557267
0.3,0.110752202597067
0.35,0.107085489706879
0.4,0.10571165400028
0.45,0.0975630616130931
0.5,0.313692057801574
0.55,0.148676972454097
0.6,0.143405794588498
0.65,0.146969100209759
0.7,0.152818424189036
0.75,0.156961755310029
0.8,0.163692278553577
0.85,0.173150264920746
0.9,0.18630810593485
0.95,0.205077815941039
1,1.75260586728943
1.05,0.166317900873323
1.1,0.187687383108001
1.15,0.195591572727122
1.2,0.206187812702663
1.25,0.218933131838514
1.3,0.23623890870453
1.35,0.248437400060085
1.4,0.273162605840879
1.45,0.351597954977825
1.5,2.51515197333243
1.55,0.362393337994699
1.6,0.277603925084233
1.65,0.249274107809205
1.7,0.23134740966186
1.75,0.214276260429838
1.8,0.198202390034817
1.85,0.187399663572829
1.9,0.176758633959622
1.95,0.167386823842307
2,0.142405231488301
2.05,0.140862439979301
2.1,0.12909044022416
2.15,0.129103087855948
2.2,0.132855240714064
2.25,0.117737812082163
2.3,0.105630822922666
2.35,0.108249258632719
2.4,0.105837453443791
2.45,0.101105445585839
2.5,2.34383347115261
2.55,0.0902408105314693
2.6,0.0879369077680168
2.65,0.0851592060637724
2.7,0.0825508632856533
2.75,0.0799024621297484
2.8,0.0778902751969234
2.85,0.0755638492703348
2.9,0.0733280170887121
2.95,0.0787619542023447
3,2.38837158242131
3.05,0.0388314861515349
3.1,0.0435317454845863
3.15,0.0429103149423166
3.2,0.0413948000959073
3.25,0.0398506291326497
3.3,0.0377965284688746
3.35,0.0366754291429176
3.4,0.0350463845759014
3.45,0.0336830029863927
3.5,0.411489047577168
3.55,0.0312120275921025
3.6,0.0317447524032676
3.65,0.028559399150361
3.7,0.026041744834924
3.75,0.0260780346465578
3.8,0.0253697545566084
3.85,0.0236878376012956
3.9,0.0224662881873409
3.95,0.0214050034164379
4,0.120943529481089
4.05,0.0189483924285757
4.1,0.0177483923537979
4.15,0.0168369540969337
4.2,0.0160466222762417
4.25,0.0147350827004677
4.3,0.0133934741726007
4.35,0.0126877315577497
4.4,0.0115305372821025
4.45,0.0106552504089364
4.5,1.27352021260376
4.55,0.00894623233010778
4.6,0.00785389714721954
4.65,0.00699289282009863
4.7,0.00662153049205532
4.75,0.00513871427670255
4.8,0.00385350682699532
4.85,0.00341077917093855
4.9,0.00284762790078124
4.95,0.00208532736550359
5,0.0136368628756696
