"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.0505135350373042,0,0.0608247698332202,0,0.0103112347959287
50,50,3775.288561116,50,3775.17444052732,50,3775.36668682836
100,100,0.108964801847128,100,0.140845728130473,100,0.214762033012757
150,150,0.118602167944628,150,0.0736529219390959,150,0.188184756754752
200,200,0.0698471487969962,200,0.109208042159171,200,0.170202504739765
250,250,2.58098603349961,250,2.50971589645649,250,2.44803299704452
300,300,0.0965328055477517,300,0.113163770302789,300,0.207477169546759
350,350,3.44587435746068,350,3.31425390242629,350,3.32105851561693
400,400,0.0965944160504445,400,0.104941992515686,400,0.200969460117837
450,450,0.56183622705838,450,0.453307304605246,450,0.412168648753908
500,500,0.0987536366261728,500,0.106541471939129,500,0.203924930096416
550,550,5.01934556944546,550,4.82534975677963,550,5.26033912087001
600,600,0.101009589364907,600,0.0907926479413827,600,0.191802235333374
650,650,1.13881659968895,650,1.13154648600837,650,1.29556891359785
700,700,0.0893318543555448,700,0.107679094654507,700,0.19685925036806
750,750,0.082959223239952,750,0.247794392317224,750,0.251830851156371
800,800,0.0938303224147605,800,0.106237582575205,800,0.199492937795592
850,850,4.74644505996468,850,4.66034805834367,850,4.8162494501359
900,900,0.0993866067512971,900,0.0939668649676841,900,0.193209420882608
950,950,3.38704543617317,950,3.66921567276759,950,1.70969800830692
1000,1000,0.0979969491684538,1000,0.101322555780024,1000,0.199207780801958
1050,1050,15.2341722325815,1050,15.3907709344538,1050,15.367481097277
1100,1100,0.0984538644534232,1100,0.0998715646054316,1100,0.198102496721331
1150,1150,0.796997211227345,1150,0.825507738236666,1150,0.548777482956665
1200,1200,0.098669658593258,1200,0.099330342699871,1200,0.197700629222983
1250,1250,1.73657592639157,1250,2.11613034241691,1250,2.60314142242416
1300,1300,0.0979941981620748,1300,0.100923017022849,1300,0.198744302010097
1350,1350,0.116235119145286,1350,0.0775088606331377,1350,0.184499324292911
1400,1400,0.0927358563451618,1400,0.103922646441579,1400,0.19649203056013
1450,1450,36.0378363081143,1450,35.9343205523531,1450,35.8567963194803
1500,1500,0.110682691700949,1500,0.09233571287243,1500,0.20133050129541
1550,1550,44.3176103302071,1550,44.5081587932662,1550,44.4001236547744
1600,1600,0.10957153989679,1600,0.0975124290743718,1600,0.207016429339347
