"Distance*$Poles/(3.14159265358979*($DiaGap []","FFT Distance*$Poles/(3.14159265358979*($DiaGap []","FFT Flux_Lines [] -  Time='0.01s'"
0,0,1.46655436363555E-07
0.0500000526052429,0.0500000526052429,0.217079170521898
0.100000105210486,0.100000105210486,1.60485579487373E-07
0.150000157815729,0.150000157815729,0.00127397944199592
0.200000210420971,0.200000210420971,9.75799490718311E-08
0.250000263026214,0.250000263026214,0.00317539713209394
0.300000315631457,0.300000315631457,4.0096438037922E-08
0.3500003682367,0.3500003682367,0.00242655360473456
0.400000420841943,0.400000420841943,8.67799291282817E-08
0.450000473447186,0.450000473447186,0.000759829502562771
0.500000526052429,0.500000526052429,1.63125416548403E-08
0.550000578657671,0.550000578657671,0.000218982875386741
0.600000631262914,0.600000631262914,6.20300222130449E-08
0.650000683868157,0.650000683868157,0.000454931185372319
0.7000007364734,0.7000007364734,1.13064484276234E-07
0.750000789078643,0.750000789078643,0.000273740122153626
0.800000841683886,0.800000841683886,1.13322300972922E-07
0.850000894289129,0.850000894289129,2.36322361388024E-06
0.900000946894371,0.900000946894371,1.2904313024217E-07
0.950000999499614,0.950000999499614,0.000151728525084174
1.00000105210486,1.00000105210486,2.00592499018516E-07
1.0500011047101,1.0500011047101,9.77940173747035E-05
1.10000115731534,1.10000115731534,1.87872233561631E-08
1.15000120992059,1.15000120992059,9.35156368613785E-05
1.20000126252583,1.20000126252583,4.82373932484534E-08
1.25000131513107,1.25000131513107,7.5230448471738E-06
1.30000136773631,1.30000136773631,6.40582911014188E-08
1.35000142034156,1.35000142034156,1.37574240312863E-05
1.4000014729468,1.4000014729468,8.50764825447263E-08
1.45000152555204,1.45000152555204,0.000916799721619409
1.50000157815729,1.50000157815729,1.69569921665919E-07
1.55000163076253,1.55000163076253,0.000928855106567979
1.60000168336777,1.60000168336777,9.09270694314199E-08
1.65000173597301,1.65000173597301,2.28524231574421E-06
1.70000178857826,1.70000178857826,1.22172625999376E-07
1.7500018411835,1.7500018411835,4.40444357327194E-05
1.80000189378874,1.80000189378874,6.60672338311279E-08
1.85000194639399,1.85000194639399,6.46698403407128E-05
1.90000199899923,1.90000199899923,1.69550213599413E-07
1.95000205160447,1.95000205160447,2.78254179047523E-05
2.00000210420971,2.00000210420971,1.09064855576065E-07
2.05000215681496,2.05000215681496,8.42208044816245E-06
2.1000022094202,2.1000022094202,7.49846544310404E-08
2.15000226202544,2.15000226202544,1.72939467671849E-05
2.20000231463069,2.20000231463069,8.4500280928537E-08
2.25000236723593,2.25000236723593,2.15427852582604E-05
2.30000241984117,2.30000241984117,4.60585815512311E-08
2.35000247244641,2.35000247244641,1.40184527619582E-05
2.40000252505166,2.40000252505166,8.66495985268044E-08
2.4500025776569,2.4500025776569,5.12230878616013E-06
2.50000263026214,2.50000263026214,2.6519992517303E-08
2.55000268286739,2.55000268286739,4.56628545828107E-06
2.60000273547263,2.60000273547263,7.64204212413745E-08
2.65000278807787,2.65000278807787,8.46492515424827E-06
2.70000284068311,2.70000284068311,9.89474694486546E-08
2.75000289328836,2.75000289328836,1.42982707000881E-05
2.8000029458936,2.8000029458936,4.88866053363567E-08
2.85000299849884,2.85000299849884,4.83275800415948E-06
2.90000305110409,2.90000305110409,9.28545561824936E-08
2.95000310370933,2.95000310370933,8.42077478310398E-05
3.00000315631457,3.00000315631457,6.68500749424382E-08
3.05000320891981,3.05000320891981,7.00149544022806E-05
3.10000326152506,3.10000326152506,4.27238280651618E-08
3.1500033141303,3.1500033141303,1.70902909504633E-06
3.20000336673554,3.20000336673554,2.62657312490249E-08
3.25000341934079,3.25000341934079,5.26708093833329E-06
3.30000347194603,3.30000347194603,7.59389332255124E-08
3.35000352455127,3.35000352455127,1.03070956506674E-06
3.40000357715651,3.40000357715651,7.42197767944697E-08
3.45000362976176,3.45000362976176,4.11165939427279E-06
3.500003682367,3.500003682367,3.19598645849788E-08
3.55000373497224,3.55000373497224,4.80750041011085E-06
3.60000378757749,3.60000378757749,2.38422675045091E-08
3.65000384018273,3.65000384018273,2.98295389966673E-06
3.70000389278797,3.70000389278797,1.01818769970807E-07
3.75000394539321,3.75000394539321,8.36966665780546E-07
3.80000399799846,3.80000399799846,7.2883843762787E-08
3.8500040506037,3.8500040506037,1.15798096782534E-06
3.90000410320894,3.90000410320894,1.03540428691462E-07
3.95000415581419,3.95000415581419,4.41774881531249E-07
4.00000420841943,4.00000420841943,4.07638636021467E-08
4.05000426102467,4.05000426102467,3.15986684592563E-07
4.10000431362991,4.10000431362991,4.7916005133005E-08
4.15000436623516,4.15000436623516,1.73106317557498E-06
4.2000044188404,4.2000044188404,5.53898361014092E-08
4.25000447144564,4.25000447144564,3.47748462460525E-06
4.30000452405088,4.30000452405088,1.06388480713209E-07
4.35000457665613,4.35000457665613,2.0720840593146E-07
4.40000462926137,4.40000462926137,6.91215545283651E-08
4.45000468186661,4.45000468186661,2.93476276398549E-05
4.50000473447186,4.50000473447186,3.58816470119037E-08
4.5500047870771,4.5500047870771,3.13346239423797E-05
4.60000483968234,4.60000483968234,7.51820050305886E-08
4.65000489228759,4.65000489228759,2.02969155659391E-06
4.70000494489283,4.70000494489283,1.52983639798243E-07
4.75000499749807,4.75000499749807,7.23120414941142E-07
