2494	420	732	16.3264	15.4944	1019	18	8	461	17	77	334	6	0.29603	29982.1	0.000173853	
2562	165	731	17.4755	15.7585	951	15	5	483	5	60	335	6	0.131029	38469.2	0.000178699	
2389	147	740	14.7817	12.545	976	11	6	484	1	77	337	5	0.127477	45474.7	0.000155448	
2689	360	765	16.807	12.5943	1024	11	5	465	8	73	340	4	0.283208	34965.7	0.000143349	
2529	121	772	20.9299	14.427	910	17	10	490	17	71	326	4	0.09708	46907.9	0.000174795	
2481	269	743	18.3748	14.4553	964	13	5	461	6	53	333	6	0.18881	34306.8	0.000171939	
2608	117	744	20.5651	14.3771	934	12	8	474	12	49	309	6	0.095706	47921.6	0.000179211	
2372	236	736	17.6523	15.4382	994	11	6	462	10	57	350	6	0.162177	34597.4	0.000179051	
2669	420	739	18.1549	15.9087	1007	17	7	474	11	51	337	5	0.30691	29782.5	0.000177117	
2656	443	745	14.7703	13.6518	1037	17	8	470	17	58	345	4	0.34755	31861.6	0.000152253	
2510	489	761	14.6779	11.7487	1028	17	8	468	2	74	329	6	0.373581	34717	0.00014298	
2528	168	732	17.1412	15.4486	983	10	4	484	9	55	339	5	0.132862	38777.2	0.000174338	
2572	261	772	17.1923	11.3907	959	16	7	483	20	78	327	6	0.203626	40188.1	0.00014339	
2346	121	740	18.7029	13.1858	1035	14	7	476	14	41	340	4	0.092226	49618.9	0.000172682	
2320	120	730	18.9106	11.4465	1026	17	10	475	4	49	327	6	0.088266	56346.3	0.000168606	
2620	193	772	21.4489	14.9587	986	16	6	467	6	63	341	5	0.145293	37996.4	0.00016975	
2580	186	759	18.3594	15.1041	984	17	7	471	10	50	346	5	0.146629	37368.5	0.000171674	
2611	301	746	19.1686	15.1346	1001	14	6	481	8	63	344	6	0.217244	32138.6	0.00016909	
2567	277	747	12.6286	11.1592	992	12	7	488	14	67	348	6	0.244964	38598.7	0.000135391	
2489	233	774	18.3317	15.0778	961	14	9	490	10	77	337	5	0.173856	34482.3	0.000169119	
2610	172	730	23.5774	15.2581	1050	17	4	476	20	60	344	4	0.119311	41482.7	0.000178412	
2699	307	775	13.398	12.388	1004	11	8	473	16	55	316	6	0.278112	36402.4	0.00014339	
2432	237	766	17.9753	13.1267	1016	11	8	470	7	63	343	4	0.172456	37857.8	0.000155545	
2439	201	773	14.473	10.9504	954	16	8	481	0	55	345	5	0.172094	43302	0.000139665	
2539	219	731	15.8253	14.9061	1047	17	5	470	5	53	349	5	0.171244	35776.5	0.000167308	
2316	193	743	19.5018	15.9166	931	16	9	474	3	72	324	4	0.128399	36780.1	0.000191828	
2699	102	752	22.9202	15.4548	1027	17	8	464	10	47	342	6	0.08532	50935.3	0.000188041	
2696	240	735	19.9874	15.8401	993	11	6	465	5	42	345	6	0.177023	34001.8	0.000179565	
2618	217	731	15.6264	14.9734	1026	15	10	488	2	66	324	4	0.176484	35351.9	0.000165975	
2695	150	743	20.1435	12.2545	1030	12	5	480	4	75	338	5	0.120718	49235.4	0.00014881	
