10323	400	3043	25	29.2773	1764	18.4503	8	533	10	55	50	4	1.05625e+06	7.08968e-05	0.1055	
10412	322	3020	20.3361	28.5985	1765	18.7066	5	534	20	55	12	4	1.12431e+06	6.43749e-05	0.0884	
11482	395	3021	25	28.3441	1756	14.9701	10	533	12	74	23	3	975566	5.93331e-05	0.2978	
10272	298	3030	15	20.1018	1761	18.442	7	534	17	55	13	4	1.38969e+06	5.45911e-05	0.143	
11500	400	3050	17.3589	20	1827	17.2242	9	526	12	63	2	3	1.14815e+06	4.66396e-05	0.4538	
11500	336	3050	15.1967	20	1859	15.428	7	535	18	57	3	3	1.28311e+06	4.5685e-05	0.419	
10440	400	3044	25	29.2773	1764	18.4503	8	533	10	55	50	4	1.04535e+06	6.95749e-05	0.1102	
10333	308	3030	15	20.1018	1767	18.1973	7	535	17	55	13	4	1.3765e+06	5.40424e-05	0.1531	
10333	308	3032	15.09	20.8718	1777	17.8748	7	535	12	55	14	4	1.36401e+06	5.46239e-05	0.1404	
10230	308	3030	15	20.1018	1767	18.1973	7	535	18	55	13	4	1.38516e+06	5.49602e-05	0.1324	
10566	400	3050	25	29.8201	1700	17.6992	10	535	16	60	51	3	1.03342e+06	6.90179e-05	0.1285	
10234	398	2987	20.9186	28.9731	1720	18.5581	6	531	13	55	21	4	1.09827e+06	6.77094e-05	0.0904	
10257	391	2998	23.2004	29.2958	1782	17.6881	6	530	17	55	17	3	1.0685e+06	6.87332e-05	0.1066	
10333	338	3039	15	21.2259	1768	18.6969	7	535	17	55	13	4	1.34987e+06	5.4942e-05	0.1349	
10505	400	3045	25	29.2773	1764	18.4503	8	534	14	55	36	4	1.03673e+06	6.82268e-05	0.1177	
10414	318	3030	15	20.5499	1761	18.442	7	534	17	55	13	4	1.35911e+06	5.37895e-05	0.159	
10330	391	2998	23.2004	29.2958	1782	18.1262	6	530	17	55	23	3	1.06275e+06	6.83574e-05	0.1067	
10234	385	2990	20.9186	28.8832	1723	17.8842	7	528	13	55	17	4	1.09874e+06	6.72495e-05	0.0938	
10264	391	3033	22.7576	28.3758	1777	17.8504	6	534	17	55	18	3	1.07481e+06	6.70196e-05	0.1023	
10511	391	3010	25	26.3491	1815	19	7	533	19	56	51	4	1.0477e+06	6.6177e-05	0.1306	
10624	392	3049	23.1064	29.3958	1725	18.7437	7	530	20	56	31	3	1.04227e+06	6.57505e-05	0.1307	
11500	400	3044	21.3303	20	1839	14.0164	6	532	14	62	7	3	1.06743e+06	4.82905e-05	0.4488	
10333	369	3018	15	21.221	1800	18.96	6	535	13	58	13	4	1.335e+06	5.51207e-05	0.1351	
11500	354	3044	15.3927	20	1839	15.3191	7	535	10	65	2	3	1.2594e+06	4.584e-05	0.4329	
10264	400	2998	22.7576	28.2084	1799	17.6881	6	534	17	55	12	3	1.07038e+06	6.68583e-05	0.1073	
10612	346	3050	15	20.403	1750	15.1301	5	531	20	56	30	4	1.33698e+06	5.25707e-05	0.1964	
10378	400	3019	22.6017	26.267	1749	18.8741	9	532	12	57	56	4	1.07623e+06	6.60153e-05	0.1087	
