"Distance [mm]","Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*50)*1s [ms]","Flux_Lines [] - Time='0.02s'"
0,0,-0.213965371251416
0.651094,0.00999998345162601,-0.214012407265106
1.302188,0.019999966903252,-0.214057071403595
1.953282,0.029999950354878,-0.214099362948517
2.604376,0.0399999338065041,-0.214139281185709
3.25547,0.0499999172581301,-0.214176928317879
3.906564,0.0599999007097561,-0.214216112802462
4.557658,0.0699998841613821,-0.214253595215931
5.208752,0.0799998676130081,-0.214289300582695
5.859846,0.0899998510646342,-0.214323228963269
6.51094,0.0999998345162602,-0.214355386987466
7.162034,0.109999817967886,-0.214384665107472
7.813128,0.119999801419512,-0.214413077267181
8.464222,0.129999784871138,-0.214440776682239
9.115316,0.139999768322764,-0.21446776302985
9.76641,0.14999975177439,-0.21449370972781
10.417504,0.159999735226016,-0.214516789892736
11.068598,0.169999718677642,-0.214538372426152
11.719692,0.179999702129268,-0.214558516333766
12.370786,0.189999685580894,-0.214577221281063
13.02188,0.19999966903252,-0.214594563277195
13.672974,0.209999652484146,-0.214611615730072
14.324068,0.219999635935772,-0.21462700789296
14.975162,0.229999619387398,-0.214640636574141
15.626256,0.239999602839024,-0.214652502053307
16.27735,0.24999958629065,-0.214662907200553
16.928444,0.259999569742276,-0.214672912472975
17.579538,0.269999553193902,-0.21468126994931
18.230632,0.279999536645528,-0.21468796006469
18.881726,0.289999520097154,-0.214692983144415
19.53282,0.29999950354878,-0.214696964822822
20.183914,0.309999487000406,-0.214700675118008
20.835008,0.319999470452032,-0.214703237786957
21.486102,0.329999453903658,-0.214704611933205
22.137196,0.339999437355285,-0.214704797834678
22.78829,0.349999420806911,-0.214703684171024
23.439384,0.359999404258537,-0.21470010884419
24.090478,0.369999387710163,-0.214695736456608
24.741572,0.379999371161789,-0.214690889618629
25.392666,0.389999354613415,-0.214685568048363
26.04376,0.399999338065041,-0.214679043727402
26.694854,0.409999321516667,-0.214670215440155
27.345948,0.419999304968293,-0.214659971998974
27.997042,0.429999288419919,-0.214648376060175
28.648136,0.439999271871545,-0.214635427257005
29.29923,0.449999255323171,-0.214621235624878
29.950324,0.459999238774797,-0.214606521324873
30.601418,0.469999222226423,-0.214590395617307
31.252512,0.479999205678049,-0.214572431145355
31.903606,0.489999189129675,-0.214552628002537
32.5547,0.499999172581301,-0.214531193735471
33.205794,0.509999156032927,-0.214509305524353
33.856888,0.519999139484553,-0.214485753782552
34.507982,0.529999122936179,-0.214460277998217
35.159076,0.539999106387805,-0.214432878295396
35.81017,0.549999089839431,-0.214403967253593
36.461264,0.559999073291057,-0.21437480966508
37.112358,0.569999056742683,-0.214344257084019
37.763452,0.579999040194309,-0.214312185814934
38.414546,0.589999023645935,-0.214278596354479
39.06564,0.599999007097561,-0.214243285855534
39.716734,0.609998990549187,-0.214205307937495
40.367828,0.619998974000813,-0.214165917454912
41.018922,0.629998957452439,-0.21412585731779
41.670016,0.639998940904065,-0.214085128081666
42.32111,0.649998924355691,-0.214043305331024
42.972204,0.659998907807317,-0.213998166069544
43.623298,0.669998891258943,-0.213951318550829
44.274392,0.679998874710569,-0.21390288611452
44.925486,0.689998858162195,-0.21385286892121
45.57658,0.699998841613821,-0.213801292297154
46.227674,0.709998825065447,-0.213749232658602
46.878768,0.719998808517073,-0.213695282483646
47.529862,0.729998791968699,-0.213639113755623
48.180956,0.739998775420325,-0.213580727409244
48.83205,0.749998758871951,-0.213520372421809
49.483144,0.759998742323577,-0.21345980456678
50.134238,0.769998725775203,-0.213397024422087
50.785332,0.779998709226829,-0.21333172475808
51.436426,0.789998692678455,-0.213263906892725
52.08752,0.799998676130081,-0.213194370673461
52.738614,0.809998659581707,-0.213125469702691
53.389708,0.819998643033333,-0.21305530085861
54.040802,0.829998626484959,-0.212983710855559
54.691896,0.839998609936585,-0.21291070221394
55.34299,0.849998593388211,-0.212836307625855
55.994084,0.859998576839837,-0.212758572093069
56.645178,0.869998560291463,-0.212680976488797
57.296272,0.87999854374309,-0.212604686878328
57.947366,0.889998527194715,-0.212529704875012
58.59846,0.899998510646341,-0.212455682477666
59.249554,0.909998494097968,-0.212377338954999
59.900648,0.919998477549593,-0.212298594706359
60.551742,0.92999846100122,-0.212219306987043
61.202836,0.939998444452846,-0.21213947383736
61.85393,0.949998427904472,-0.212059075622206
62.505024,0.959998411356098,-0.211980794372286
63.156118,0.969998394807724,-0.211900611323093
63.807212,0.979998378259349,-0.211817943498832
64.458306,0.989998361710976,-0.21173278782812
65.1094,0.999998345162602,-0.211645141243275
65.760494,1.00999832861423,-0.211557698974905
66.411588,1.01999831206585,-0.211466895982499
67.062682,1.02999829551748,-0.211372729665369
67.713776,1.03999827896911,-0.211275197427492
68.36487,1.04999826242073,-0.21117416787146
69.015964,1.05999824587236,-0.211071788637356
69.667058,1.06999822932398,-0.210965279206919
70.318152,1.07999821277561,-0.210854530747959
70.969246,1.08999819622724,-0.210739541500303
71.62034,1.09999817967886,-0.210619769145018
72.271434,1.10999816313049,-0.210493144726916
72.922528,1.11999814658211,-0.210362895866153
73.573622,1.12999813003374,-0.210229020215812
74.224716,1.13999811348537,-0.210091518562035
74.87581,1.14999809693699,-0.209949949191751
75.526904,1.15999808038862,-0.209800366616846
76.177998,1.16999806384024,-0.209646873699334
76.829092,1.17999804729187,-0.209489686045634
77.480186,1.1899980307435,-0.209328806008949
78.13128,1.19999801419512,-0.209164428599115
78.782374,1.20999799764675,-0.208997755978869
79.433468,1.21999798109837,-0.208826981525802
80.084562,1.22999796455,-0.208651728077799
80.735656,1.23999794800163,-0.208471997886755
81.38675,1.24999793145325,-0.208287984358336
82.037844,1.25999791490488,-0.208102912639916
82.688938,1.2699978983565,-0.20791326874896
83.340032,1.27999788180813,-0.207717889439996
83.991126,1.28999786525976,-0.207516776017778
84.64222,1.29999784871138,-0.207311002658588
85.293314,1.30999783216301,-0.207105258194083
85.944408,1.31999781561463,-0.206895832051668
86.595502,1.32999779906626,-0.206681500986275
87.246596,1.33999778251789,-0.206462268143528
87.89769,1.34999776596951,-0.206237780802462
88.548784,1.35999774942114,-0.206003604813281
89.199878,1.36999773287276,-0.205766373910476
89.850972,1.37999771632439,-0.205527330446315
90.502066,1.38999769977602,-0.2052864766016
91.15316,1.39999768322764,-0.205040500517732
91.804254,1.40999766667927,-0.204783604551084
92.455348,1.41999765013089,-0.204520760389353
93.106442,1.42999763358252,-0.204253059336443
93.757536,1.43999761703415,-0.203980504579465
94.40863,1.44999760048577,-0.203703716579088
95.059724,1.4599975839374,-0.203425491996235
95.710818,1.46999756738902,-0.20314175710697
96.361912,1.47999755084065,-0.202851661370268
97.013006,1.48999753429228,-0.202555210790538
97.6641,1.4999975177439,-0.20225482242027
98.315194,1.50999750119553,-0.20195648715009
98.966288,1.51999748464715,-0.20165370747271
99.617382,1.52999746809878,-0.201346217823574
100.268476,1.53999745155041,-0.201034023177814
100.91957,1.54999743500203,-0.200722226158578
101.570664,1.55999741845366,-0.200418301090453
102.221758,1.56999740190528,-0.200113931691531
102.872852,1.57999738535691,-0.19981001980739
103.523946,1.58999736880854,-0.199506562410596
104.17504,1.59999735226016,-0.19920083845362
104.826134,1.60999733571179,-0.198888867147761
105.477228,1.61999731916341,-0.198576713315164
106.128322,1.62999730261504,-0.198266619708167
106.779416,1.63999728606667,-0.197958574379801
107.43051,1.64999726951829,-0.197650530746433
108.081604,1.65999725296992,-0.197335233285301
108.732698,1.66999723642154,-0.197017500510004
109.383792,1.67999721987317,-0.196694415190338
110.034886,1.6899972033248,-0.196365962491688
110.68598,1.69999718677642,-0.196032370272826
111.337074,1.70999717022805,-0.195697483096963
111.988168,1.71999715367967,-0.195357872736338
112.639262,1.7299971371313,-0.195010254717724
113.290356,1.73999712058293,-0.194654618188726
113.94145,1.74999710403455,-0.194291164090613
114.592544,1.75999708748618,-0.193920949211521
115.243638,1.7699970709378,-0.193540734211927
115.894732,1.77999705438943,-0.193153474142886
116.545826,1.78999703784106,-0.192759168421644
117.19692,1.79999702129268,-0.192358450525477
117.848014,1.80999700474431,-0.19194949988894
118.499108,1.81999698819594,-0.191532423880089
119.150202,1.82999697164756,-0.191109773514203
119.801296,1.83999695509919,-0.190681553853844
120.45239,1.84999693855081,-0.190248579776981
121.103484,1.85999692200244,-0.189817047650042
121.754578,1.86999690545406,-0.189382242975213
122.405672,1.87999688890569,-0.188944372952654
123.056766,1.88999687235732,-0.188503441943915
123.70786,1.89999685580894,-0.188059725102158
124.358954,1.90999683926057,-0.187616209932792
125.010048,1.9199968227122,-0.187171791938297
125.661142,1.92999680616382,-0.186726605112
126.312236,1.93999678961545,-0.186280651971056
126.96333,1.94999677306707,-0.185833889777068
