12100	13425	2793	21.0355	25	2114	28	6	627	6	86	529	5	1.49701	1.17E+07	5.26E-05
12100	12550	2700	28.7344	30.685	2123	31	7	604	16	70	506	6	0.358686	10875855	0.000286451
12100	13411	2770	21	25	2107	28	6	637	10	85	530	4	1.46462	1.17E+07	5.28E-05
11296	13403	2710	37	35	2113	30	10	631	10	65	492	5	2.44695	10760174	7.60E-05
12100	12554	2713	28.5079	34.4272	2111	31	7	610	14	68	518	5	0.364792	10855959	0.000292227
11296	13391	2701	37	34.8469	2056	32	10	627	9	65	492	4	2.42259	10754380	7.68E-05
12099	12550	2727	28.7862	34.9274	2134	31	7	602	16	61	503	6	0.363667	10865057	0.000280584
12100	13435	2782	21	25	2092	28	6	622	17	86	530	5	1.50447	1.17E+07	5.28E-05
11505	13438	2714	37	35	2021	31	10	646	9	75	512	5	2.25637	10769761	7.41E-05
12091	13455	2793	21	25	2093	28	6	631	17	86	529	5	1.54987	1.16E+07	5.27E-05
11277	13339	2700	37	35	2091	32	9	624	9	65	492	5	2.3732	10755364	7.68E-05
12100	13466	2781	21	25	2115	28	7	634	16	83	530	5	1.54728	1.16E+07	5.27E-05
11358	13353	2700	36.8298	35	2137	32	9	640	13	65	492	5	2.29941	10762051	7.59E-05
12100	13264	2791	22.3576	25	2099	28	7	639	15	81	524	5	1.29093	1.16E+07	5.34E-05
12100	12573	2743	27.6898	35	2132	32	5	620	18	61	514	5	0.390416	10861441	0.000283527
11308	13335	2700	37	35	2091	32	9	624	9	68	492	5	2.33246	10757576	7.64E-05
12100	12589	2700	27.0733	35	2098	31	7	611	13	72	519	6	0.402154	10863998	0.000277701
12100	13278	2778	23.1584	25	2107	29	9	639	10	83	530	4	1.31301	1.15E+07	5.36E-05
12100	12550	2734	28.741	34.5255	2000	31	8	610	12	62	504	6	0.363224	10856706	0.000289519
11349	13384	2713	36.5617	35	2012	31	10	628	15	62	514	4	2.36275	10762151	7.57E-05
11357	13353	2700	37	35	2137	32	9	629	13	61	492	5	2.30064	10758510	7.63E-05
11671	13375	2716	36.8377	35	2005	31	9	646	11	72	507	4	1.9768	10776918	7.33E-05
11308	13339	2700	37	35	2091	32	9	624	9	65	492	5	2.33785	10756356	7.66E-05
12100	12589	2700	27.6833	35	2098	31	6	606	18	72	509	6	0.40459	10934690	0.000225327
12100	13202	2786	24.1594	25.3585	2124	29	5	650	2	77	530	5	1.22093	1.15E+07	5.40E-05
11785	13488	2796	31.3673	25.2778	2055	29	7	641	8	89	505	5	2.04784	1.11E+07	5.83E-05
12094	12550	2735	31.4985	34.774	2097	30	10	602	18	62	491	4	0.377416	1.10E+07	0.000158278
12100	12567	2700	28.4151	35	2100	31	8	606	3	73	509	6	0.379225	10906480	0.00024558
12043	12578	2700	25.6624	34.601	2130	30	8	612	15	69	498	4	0.450764	10901759	0.000247586
12100	12850	2713	34.0506	26.095	2157	31	7	629	19	82	517	6	0.756995	1.14E+07	6.04E-05
12100	12589	2700	27.3274	35	2098	31	6	606	18	72	509	6	0.403204	10897992	0.00025227
12097	13120	2783	23.8248	25	2049	28	5	628	13	69	530	5	1.10834	1.16E+07	5.46E-05
12100	12550	2700	29.5483	26.0643	2090	30	6	641	6	71	504	5	0.360999	10995933	0.000223314
11670	13388	2718	37	35	2005	31	9	635	11	72	507	4	1.9972	10774811	7.34E-05
12100	13059	2785	29.9859	25	2088	30	7	643	14	89	524	5	1.05207	1.13E+07	5.59E-05
12089	12550	2704	29.3097	34.2125	2097	30	7	601	15	65	523	6	0.374346	10956084	0.000211909
12100	12550	2701	32.2998	34.3553	2102	28	8	600	15	70	523	5	0.366716	1.10E+07	0.000152999
12100	12550	2700	29.7485	26.5111	2160	31	7	636	3	72	515	5	0.361514	1.10E+07	0.000213767
11555	13440	2707	37	35	2004	32	8	623	10	69	474	5	2.1949	10762079	7.59E-05
11749	13348	2754	36.1403	32.0615	2126	28	10	640	9	81	524	4	1.87286	10857541	6.69E-05
12100	12550	2700	31.7892	25.505	2031	31	7	633	13	75	523	5	0.365762	1.11E+07	0.000155958
